cues,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12
avis,aconit,accoster,affaiblissement,aquavit,préméditation,précipitation,prescription,cogitation,chavignol,archiviste,accessoiriser,vie
avis_nb_occurrences,1,1,1,1,1,1,1,1,1,1,1,1
