num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
1,0,enfant,enfant,enfant,0.0,enfant_0,parent,0.7980417013168335,0.9645738140748337,0.0602917138991161,0.7729207291356343,0.0,1.0565542698477677
1,0,enfant,enfant,enfant,0.0,enfant_0,adulte,0.7335328459739685,0.9526368669653824,0.15713156718475255,0.7941443681170084,0.0,1.0565542698477677
1,1,enfant,adulte,adulte,0.4343975245673102,adulte_1,adolescent,0.7550124526023865,0.9914018104322855,0.20533253008394067,0.8240943417241887,0.6951458921012774,1.0565542698477677
1,1,enfant,adulte,adulte,0.4343975245673102,adulte_1,parent,0.7231104373931885,0.8756383049202725,0.17379199608597876,0.7279635742495018,0.6951458921012774,1.0565542698477677
1,2,enfant,adolescent,adolescent,0.8762825425364155,adolescent_2,parent,0.7126890420913696,0.8908145064609598,0.2994333861398353,0.7677044638002681,0.7415992091865423,0.9631942658341635
1,2,enfant,adolescent,adolescent,0.8762825425364155,adolescent_2,ados,0.6533675789833069,0.8696657015420031,0.1560535612388712,0.7221209780229823,0.7415992091865423,0.9631942658341635
1,3,enfant,parent,parent,0.3274100920279416,parent_3,famille,0.6440743207931519,0.9329961637607121,0.23594388107537567,0.7886835177951741,0.8346224943278722,0.8780838052639605
1,3,enfant,parent,parent,0.3274100920279416,parent_3,jeune,0.6341633200645447,0.8313142269492355,0.16423225184295895,0.7000801391911113,0.8346224943278722,0.8780838052639605
1,4,enfant,famille,famille,0.805060020160745,famille_4,enfance,0.6378601789474487,0.923930128096219,0.16688569052804686,0.7630427671841252,0.7813727032891244,0.8004939360795447
1,4,enfant,famille,famille,0.805060020160745,famille_4,grands-parents,0.637599527835846,0.849886263051461,0.25205109694768413,0.7249498763892721,0.7813727032891244,0.8004939360795447
1,5,enfant,parent,enfance,0.29569722793689013,enfance,,,,,,0.8040753820516869,0.7297601184063455
