num_path,num_step,cue,best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability
1,1,objet,objet,0.0,objet,bienvenue,0.47606369853019714,0.4642895075643922,-0.0948836991997852,0.1847029041823035
1,1,objet,objet,0.0,objet,boutique,0.4588533639907837,0.44750482565524247,-0.09038721461522947,0.1785588055200065
1,1,objet,objet,0.0,objet,divers,0.44471099972724915,0.43371223579807605,-0.08675215927343984,0.17348003826231811
1,1,objet,objet,0.0,objet,forme,0.43347251415252686,0.4227517047822327,-0.08390201228082725,0.1694248462507027
1,2,objet,bienvenue,-0.12305941916353931,bienvenue,boutique,0.6418627500534058,0.538228897343363,-0.9799485923123727,-0.22085984748450488
1,2,objet,bienvenue,-0.12305941916353931,bienvenue,favori,0.5434267520904541,0.4556861751833923,-0.7799222474352321,-0.1621180361259199
1,2,objet,bienvenue,-0.12305941916353931,bienvenue,ebay,0.5350346565246582,0.4486490502802839,-0.763702777499753,-0.15752686360973456
1,2,objet,bienvenue,-0.12305941916353931,bienvenue,décoration,0.5063855051994324,0.4246255325947406,-0.709319117502895,-0.1423467924540772
1,3,objet,bienvenue,-0.30352877765435476,décoration,boutique,0.6852504014968872,0.5985878030844064,-0.7663950190411926,-0.08390360797839308
1,3,objet,bienvenue,-0.30352877765435476,décoration,déco,0.5713845491409302,0.49912239560825283,-0.5958677852497278,-0.0483726948207375
1,3,objet,bienvenue,-0.30352877765435476,décoration,broderie,0.5370882153511047,0.4691634681092598,-0.5478773566734586,-0.039356944282099404
1,3,objet,bienvenue,-0.30352877765435476,décoration,bijou,0.5331808924674988,0.46575029853543687,-0.5425089545666808,-0.038379328015621966
1,4,objet,bienvenue,-0.4556046432574792,bijou,boutique,0.7014004588127136,0.09664863286201496,-1.0717138434031697,-0.48753260527057735
1,4,objet,bienvenue,-0.4556046432574792,bijou,fantaisie,0.5782974362373352,0.07968579988464304,-0.8196838291678998,-0.3699990146416284
1,4,objet,bienvenue,-0.4556046432574792,bijou,déco,0.5720324516296387,0.0788225238636088,-0.8075853341780731,-0.36438140515723216
1,4,objet,bienvenue,-0.4556046432574792,bijou,broderie,0.5619407892227173,0.07743195537640685,-0.7882452690445039,-0.3554066568340485
1,5,objet,bienvenue,-0.6638659746242889,broderie,boutique,0.6960785984992981,0.0835927803150038,-0.5028723595233269,-0.20963978960416152
1,5,objet,bienvenue,-0.6638659746242889,broderie,fantaisie,0.5831685662269592,0.07003330076276595,-0.3932554724857448,-0.16161108586148942
1,5,objet,bienvenue,-0.6638659746242889,broderie,déco,0.5608793497085571,0.0673565662907777,-0.37289992443880626,-0.1527716790740143
1,5,objet,bienvenue,-0.6638659746242889,broderie,couture,0.5150972604751587,0.06185854906125755,-0.3324170283855381,-0.13527923966214028
