,cue,depth_1,depth_2,depth_3
213,peau,lisser,épais,recouvrir
214,peau,lisser,épais,délicatement
215,peau,lisser,épais,crème
216,mur,murs,façade,toiture
217,mur,murs,façade,brique
218,mur,murs,façade,maçonnerie
219,mur,murs,dalle,béton
220,mur,murs,dalle,façade
221,mur,murs,dalle,brique
222,mur,murs,brique,façade
223,mur,murs,brique,tuile
224,mur,murs,brique,toiture
225,mur,dalle,murs,béton
226,mur,dalle,murs,façade
227,mur,dalle,murs,brique
228,mur,dalle,béton,murs
229,mur,dalle,béton,maçonnerie
230,mur,dalle,béton,ciment
231,mur,dalle,brique,murs
232,mur,dalle,brique,béton
233,mur,dalle,brique,tuile
234,mur,façade,murs,toiture
235,mur,façade,murs,brique
236,mur,façade,murs,maçonnerie
237,mur,façade,toiture,murs
238,mur,façade,toiture,toit
239,mur,façade,toiture,tuile
240,mur,façade,brique,murs
241,mur,façade,brique,toiture
242,mur,façade,brique,tuile
243,science,sciences,mathématiques,mathématique
244,science,sciences,mathématiques,ufr
245,science,sciences,mathématiques,scientifique
246,science,sciences,scientifique,interdisciplinaire
247,science,sciences,scientifique,chercheur
248,science,sciences,scientifique,mathématiques
249,science,sciences,sociales,humaines
250,science,sciences,sociales,mathématiques
251,science,sciences,sociales,ufr
252,science,scientifique,chercheur,interdisciplinaire
253,science,scientifique,chercheur,recherche
254,science,scientifique,chercheur,enseignant-chercheur
255,science,scientifique,interdisciplinaire,chercheur
256,science,scientifique,interdisciplinaire,pluridisciplinaire
257,science,scientifique,interdisciplinaire,discipline
258,science,scientifique,sciences,interdisciplinaire
259,science,scientifique,sciences,chercheur
260,science,scientifique,sciences,mathématiques
261,science,interdisciplinaire,scientifique,chercheur
262,science,interdisciplinaire,scientifique,pluridisciplinaire
263,science,interdisciplinaire,scientifique,discipline
264,science,interdisciplinaire,pluridisciplinaire,scientifique
265,science,interdisciplinaire,pluridisciplinaire,discipline
266,science,interdisciplinaire,pluridisciplinaire,chercheur
267,science,interdisciplinaire,sciences,scientifique
268,science,interdisciplinaire,sciences,pluridisciplinaire
269,science,interdisciplinaire,sciences,sociologie
270,enfant,parent,famille,familial
271,enfant,parent,famille,enfance
272,enfant,parent,famille,mère
273,enfant,parent,enfance,famille
274,enfant,parent,enfance,maternel
275,enfant,parent,enfance,adolescent
276,enfant,parent,maternel,maternelle
277,enfant,parent,maternel,enfance
278,enfant,parent,maternel,famille
279,enfant,famille,parent,familial
280,enfant,famille,parent,enfance
281,enfant,famille,parent,mère
282,enfant,famille,familial,parent
283,enfant,famille,familial,enfance
284,enfant,famille,familial,parental
285,enfant,famille,enfance,parent
286,enfant,famille,enfance,familial
287,enfant,famille,enfance,adolescent
288,enfant,enfance,parent,famille
289,enfant,enfance,parent,maternel
290,enfant,enfance,parent,adolescent
291,enfant,enfance,maternel,maternelle
292,enfant,enfance,maternel,parent
293,enfant,enfance,maternel,crèche
294,enfant,enfance,famille,parent
295,enfant,enfance,famille,familial
296,enfant,enfance,famille,adolescent
297,lune,lunaire,orbite,jupiter
298,lune,lunaire,orbite,astre
299,lune,lunaire,orbite,vénus
300,lune,lunaire,éclipse,soleil
301,lune,lunaire,éclipse,orbite
302,lune,lunaire,éclipse,astre
303,lune,lunaire,astre,soleil
304,lune,lunaire,astre,céleste
305,lune,lunaire,astre,orbite
306,lune,astre,céleste,ciel
307,lune,astre,céleste,soleil
308,lune,astre,céleste,lunaire
309,lune,astre,soleil,ciel
310,lune,astre,soleil,céleste
311,lune,astre,soleil,lunaire
312,lune,astre,lunaire,soleil
313,lune,astre,lunaire,céleste
314,lune,astre,lunaire,orbite
315,lune,soleil,astre,ciel
316,lune,soleil,astre,céleste
317,lune,soleil,astre,lunaire
318,lune,soleil,lunaire,astre
319,lune,soleil,lunaire,éclipse
320,lune,soleil,lunaire,orbite
321,lune,soleil,éclipse,lunaire
322,lune,soleil,éclipse,astre
323,lune,soleil,éclipse,céleste
324,cause,conséquence,entraîner,provoquer
325,cause,conséquence,entraîner,résulter
326,cause,conséquence,entraîner,engendrer
327,cause,conséquence,résulter,entraîner
328,cause,conséquence,résulter,découler
329,cause,conséquence,résulter,constater
330,cause,conséquence,provoquer,entraîner
331,cause,conséquence,provoquer,engendrer
332,cause,conséquence,provoquer,survenir
333,cause,survenir,provoquer,entraîner
334,cause,survenir,provoquer,causer
335,cause,survenir,provoquer,conséquence
336,cause,survenir,grave,provoquer
337,cause,survenir,grave,causer
338,cause,survenir,grave,entraîner
339,cause,survenir,entraîner,provoquer
340,cause,survenir,entraîner,conséquence
341,cause,survenir,entraîner,dus
342,cause,grave,survenir,provoquer
343,cause,grave,survenir,causer
344,cause,grave,survenir,entraîner
345,cause,grave,conséquence,entraîner
346,cause,grave,conséquence,survenir
347,cause,grave,conséquence,provoquer
348,cause,grave,provoquer,survenir
349,cause,grave,provoquer,entraîner
350,cause,grave,provoquer,conséquence
351,table,rond,ronde,chaise
352,table,rond,ronde,tabler
353,table,rond,ronde,convier
354,table,rond,chaise,asseoir
355,table,rond,chaise,ronde
356,table,rond,chaise,fauteuil
