num_path,best_word,q-value,cue,step_1,step_2,step_3,step_4,step_5,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,likeability_1,likeability_2,likeability_3,likeability_4,likeability_5
1,examiner,-0.7976915963834159,rapport,commission,examiner,formuler,rapporteur,saisine,-0.05094004469791062,0.23076335451261973,0.0036430213089661267,-0.024138007823585078,-0.1477863052171688,0.5063669681549072,0.6334311962127686,0.5425868034362793,0.5498186945915222,0.5304277539253235
2,proposition,-0.8266725236654233,rapport,commission,adopter,proposition,sénat,assemblée,-0.15999617234032476,0.006389215018170136,0.15747149658223247,-0.13559054860480788,-0.0016366089823868502,0.5063669681549072,0.526229977607727,0.6633862853050232,0.5919582843780518,0.6232356429100037
