id_participant,cues
27,horizon
27,question
27,lune
27,rapport
27,masse
27,garçon
28,acte
28,lune
28,mur
28,jardin
28,genre
28,nord
28,passion
28,cause
28,visage
28,flamme
28,science
28,chambre
28,avis
28,appel
28,fil
28,habitude
28,machine
28,table
28,horizon
28,rôle
28,colline
28,mer
28,herbe
28,faim
28,position
28,masse
28,chien
28,preuve
28,lit
28,question
28,garçon
28,morceau
28,sens
28,début
28,lutte
28,soeur
28,passage
28,façon
28,direction
28,rayon
28,jeunesse
28,vache
28,oncle
28,vin
28,larme
28,peau
28,objet
28,arbre
28,école
28,page
28,rose
28,rapport
28,désir
28,mari
28,toit
28,jambe
28,lèvre
28,doigt
28,principe
28,pierre
28,enfant
28,gauche
28,rapport
28,désir
28,peau
28,vache
28,mur
28,chien
28,habitude
28,larme
28,cause
28,preuve
28,direction
28,lèvre
28,chambre
28,visage
28,colline
28,mer
28,page
28,arbre
28,gauche
28,flamme
28,école
28,principe
28,oncle
28,herbe
28,morceau
28,enfant
28,nord
28,jardin
28,façon
28,garçon
28,lune
28,genre
28,doigt
28,machine
28,rôle
28,jeunesse
28,passion
28,masse
28,début
28,question
28,soeur
28,mari
28,rayon
28,rose
28,acte
28,table
28,lutte
28,objet
28,sens
28,horizon
28,avis
28,pierre
28,fil
28,science
28,appel
28,passage
28,faim
28,lit
28,jambe
28,position
28,vin
28,toit
29,début
29,preuve
29,cause
29,école
29,gauche
29,machine
29,mer
29,chien
29,lit
29,avis
29,page
29,chambre
29,fil
29,direction
29,vin
29,vache
29,position
29,sens
29,larme
29,rapport
29,genre
29,pierre
29,colline
29,toit
29,nord
29,objet
29,visage
29,arbre
29,appel
29,soeur
29,rose
29,oncle
29,rôle
29,masse
29,faim
29,lèvre
29,garçon
29,morceau
29,passage
29,passion
29,horizon
29,jardin
29,lune
29,flamme
29,enfant
29,désir
29,lutte
29,jeunesse
29,mur
29,mari
29,peau
29,herbe
29,question
29,façon
29,table
29,rayon
29,principe
29,acte
29,science
29,doigt
29,jambe
29,habitude
29,objet
29,rapport
29,direction
29,chambre
29,lune
29,jeunesse
29,nord
29,pierre
29,vache
29,lèvre
29,rayon
29,herbe
29,page
29,toit
29,rose
29,doigt
29,sens
29,horizon
29,acte
29,mur
29,larme
29,position
29,principe
29,mer
29,appel
29,avis
29,colline
29,genre
29,vin
29,flamme
29,façon
29,école
29,table
29,passion
29,rôle
29,oncle
29,cause
29,mari
29,question
29,début
29,chien
29,jardin
29,soeur
29,garçon
29,jambe
29,preuve
29,lutte
29,désir
29,arbre
29,gauche
29,habitude
29,fil
29,enfant
29,machine
29,lit
29,masse
29,faim
29,passage
29,science
29,peau
29,morceau
29,visage
30,toit
30,pierre
30,enfant
30,début
30,façon
30,jeunesse
30,lèvre
30,nord
30,oncle
30,principe
30,larme
30,rapport
30,rôle
30,jambe
30,faim
30,peau
30,école
30,page
30,sens
30,cause
30,rayon
30,mari
30,chien
30,genre
30,science
30,morceau
30,vache
30,soeur
30,doigt
30,passion
30,jardin
30,arbre
30,garçon
30,colline
30,appel
30,direction
30,question
30,habitude
30,vin
30,avis
30,mur
30,chambre
30,acte
30,visage
30,preuve
30,table
30,gauche
30,flamme
30,horizon
30,désir
30,rose
30,lutte
30,passage
30,mer
30,lune
30,position
30,lit
30,masse
30,machine
30,fil
30,herbe
30,objet
30,toit
30,faim
30,passion
30,machine
30,habitude
30,direction
30,cause
30,jeunesse
30,jardin
30,lèvre
30,doigt
30,lutte
30,flamme
30,rose
30,larme
30,rayon
30,lit
30,façon
30,herbe
30,passage
30,pierre
30,vin
30,principe
30,vache
30,question
30,lune
30,table
30,mur
30,arbre
30,école
30,objet
30,garçon
30,rapport
30,rôle
30,science
30,soeur
30,colline
30,page
30,sens
30,avis
30,morceau
30,position
30,début
30,preuve
30,acte
30,chien
30,gauche
30,chambre
30,masse
30,horizon
30,mari
30,oncle
30,nord
30,peau
30,fil
30,genre
30,désir
30,jambe
30,appel
30,enfant
30,mer
30,visage
31,principe
31,preuve
31,position
31,direction
31,jambe
31,faim
31,appel
31,peau
31,genre
31,sens
31,oncle
31,herbe
31,science
31,arbre
31,enfant
31,garçon
31,école
31,fil
31,jardin
31,visage
31,rayon
31,pierre
31,passage
31,rôle
31,rapport
31,nord
31,masse
31,morceau
31,flamme
31,gauche
31,table
31,passion
31,page
31,machine
31,avis
31,vache
31,lune
31,début
31,lit
31,larme
31,mari
31,habitude
31,acte
31,mur
31,rose
31,toit
31,question
31,doigt
31,lèvre
31,chien
31,colline
31,désir
31,horizon
31,cause
31,façon
31,jeunesse
31,mer
31,soeur
31,objet
31,chambre
31,vin
31,lutte
31,table
31,science
31,chambre
31,rayon
31,rose
31,masse
31,rôle
31,lèvre
31,fil
31,façon
31,gauche
31,passion
31,soeur
31,vache
31,page
31,faim
31,flamme
31,passage
31,direction
31,oncle
31,enfant
31,école
31,garçon
31,objet
31,genre
31,appel
31,cause
31,position
31,désir
31,machine
31,lune
31,jardin
31,nord
31,question
31,acte
31,arbre
31,mari
31,principe
31,mur
31,habitude
31,jambe
31,rapport
31,lit
31,pierre
31,preuve
31,sens
31,peau
31,toit
31,chien
31,herbe
31,doigt
31,début
31,colline
31,horizon
31,avis
31,larme
31,visage
31,mer
31,vin
31,morceau
31,lutte
31,jeunesse
32,garçon
32,page
32,chien
32,passage
32,jambe
32,table
32,horizon
32,oncle
32,larme
32,rayon
32,lèvre
32,genre
32,soeur
32,début
32,mer
32,gauche
32,appel
32,peau
32,preuve
32,mari
32,chambre
32,lit
32,objet
32,sens
32,toit
32,pierre
32,arbre
32,mur
32,colline
32,rapport
32,façon
32,fil
32,lutte
32,nord
32,masse
32,faim
32,jardin
32,science
32,visage
32,rose
32,désir
32,herbe
32,morceau
32,question
32,école
32,position
32,cause
32,doigt
32,rôle
32,jeunesse
32,acte
32,passion
32,avis
32,habitude
32,enfant
32,vin
32,principe
32,direction
32,machine
32,lune
32,flamme
32,vache
32,soeur
32,chambre
32,lutte
32,gauche
32,façon
32,principe
32,masse
32,arbre
32,avis
32,acte
32,doigt
32,habitude
32,chien
32,question
32,passage
32,toit
32,position
32,mari
32,rose
32,rôle
32,appel
32,lune
32,nord
32,page
32,jeunesse
32,passion
32,science
32,herbe
32,enfant
32,morceau
32,vin
32,jardin
32,peau
32,lit
32,désir
32,fil
32,jambe
32,pierre
32,cause
32,table
32,sens
32,colline
32,faim
32,preuve
32,horizon
32,garçon
32,genre
32,larme
32,direction
32,objet
32,machine
32,flamme
32,mur
32,rayon
32,école
32,début
32,oncle
32,mer
32,rapport
32,vache
32,visage
32,lèvre
33,mari
33,jeunesse
33,pierre
33,chien
33,nord
33,rose
33,lutte
33,début
33,flamme
33,peau
33,jambe
33,horizon
33,enfant
33,table
33,façon
33,sens
33,avis
33,doigt
33,page
33,principe
33,rayon
33,rôle
33,genre
33,rapport
33,acte
33,question
33,lèvre
33,machine
33,chambre
33,colline
33,fil
33,position
33,passage
33,masse
33,jardin
33,garçon
33,larme
33,arbre
33,gauche
33,mer
33,objet
33,école
33,vin
33,lit
33,science
33,faim
33,passion
33,herbe
33,lune
33,oncle
33,toit
33,soeur
33,vache
33,habitude
33,appel
33,cause
33,direction
33,morceau
33,mur
33,désir
33,preuve
33,visage
33,cause
33,lutte
33,garçon
33,preuve
33,mari
33,masse
33,lune
33,mur
33,rayon
33,peau
33,acte
33,horizon
33,vache
33,rapport
33,science
33,table
33,direction
33,pierre
33,gauche
33,rose
33,fil
33,flamme
33,question
33,façon
33,machine
33,soeur
33,sens
33,herbe
33,doigt
33,genre
33,page
33,rôle
33,jambe
33,arbre
33,vin
33,lèvre
33,colline
33,passage
33,passion
33,principe
33,jardin
33,toit
33,chambre
33,lit
33,enfant
33,appel
33,larme
33,nord
33,morceau
33,position
33,visage
33,chien
33,faim
33,objet
33,oncle
33,école
33,désir
33,début
33,jeunesse
33,avis
33,mer
33,habitude
34,larme
34,toit
34,chambre
34,lit
34,fil
34,faim
34,machine
34,position
34,table
34,preuve
34,lutte
34,sens
34,doigt
34,question
34,acte
34,visage
34,science
34,herbe
34,gauche
34,rapport
34,colline
34,soeur
34,jambe
34,rayon
34,genre
34,morceau
34,peau
34,rôle
34,façon
34,vache
34,cause
34,flamme
34,direction
34,rose
34,objet
34,avis
34,jardin
34,mari
34,enfant
34,lune
34,lèvre
34,habitude
34,passion
34,principe
34,oncle
34,pierre
34,masse
34,désir
34,vin
34,horizon
34,chien
34,début
34,école
34,arbre
34,mer
34,passage
34,appel
34,nord
34,page
34,garçon
34,mur
34,jeunesse
34,désir
34,horizon
34,gauche
34,rôle
34,visage
34,lune
34,jambe
34,fil
34,école
34,machine
34,morceau
34,flamme
34,toit
34,passion
34,doigt
34,lit
34,rapport
34,vache
34,lèvre
34,début
34,objet
34,genre
34,colline
34,masse
34,table
34,garçon
34,soeur
34,appel
34,arbre
34,science
34,rose
34,jardin
34,habitude
34,avis
34,chien
34,mur
34,rayon
34,herbe
34,enfant
34,direction
34,cause
34,page
34,nord
34,oncle
34,peau
34,passage
34,preuve
34,faim
34,principe
34,mer
34,question
34,acte
34,jeunesse
34,mari
34,façon
34,position
34,vin
34,chambre
34,sens
34,larme
34,pierre
34,lutte
35,soeur
35,désir
35,principe
35,école
35,chambre
35,chien
35,façon
35,direction
35,peau
35,herbe
35,mari
35,arbre
35,horizon
35,oncle
35,lit
35,appel
35,passage
35,garçon
35,vin
35,rose
35,rôle
35,lèvre
35,rayon
35,toit
35,jambe
35,objet
35,fil
35,rapport
35,larme
35,début
35,nord
35,machine
35,pierre
35,genre
35,mur
35,lune
35,morceau
35,table
35,page
35,position
35,avis
35,preuve
35,vache
35,masse
35,enfant
35,visage
35,habitude
35,acte
