num_path,cue,best_word,q-value,path
1,machine,usinage,-1.082654210328272,"[['machine', 0], ['machine-outil', 0.4768312173397362], ['fraiseuse', 0.37511933596893415], ['usinage', 0.4835908815629729], ['fraisage', 0.3230149781242955], ['électroérosion', 0.2871626374788824], ['ugv', 0.16985692325811677], ['rectifieuse', 0.08186101076748518], ['usiner', 0.17215595984509585], ['mocn', 0.13056041072707555], ['enfonçage', 0.08657559328604694], ['machine', 0], ['machine-outil', 0.6666760015353651], ['fraiseuse', 0.06928781127163851], ['usinage', 0.07730154291525448], ['fraisage', 0.4440399125042433], ['électroérosion', 0.3531778270329597], ['ugv', 0.3162181860032642], ['rectifieuse', 0.053823179060435655], ['usiner', 0.07255364653899954], ['mocn', 0.09666499174464582], ['enfonçage', 0.0732799666244969]]"
2,machine,machine-outil,-1.1553953869537394,"[['machine', 0], ['machine-outil', 0.4768312173397362], ['fraiseuse', 0.37511933596893415], ['usinage', 0.4835908815629729], ['fraisage', 0.3230149781242955], ['électroérosion', 0.2871626374788824], ['ugv', 0.16985692325811677], ['rectifieuse', 0.08186101076748518], ['usiner', 0.17215595984509585], ['mocn', 0.13056041072707555], ['enfonçage', 0.08657559328604694], ['machine', 0], ['machine-outil', 0.6666760015353651], ['fraiseuse', 0.06928781127163851], ['usinage', 0.07730154291525448], ['fraisage', 0.4440399125042433], ['électroérosion', 0.3531778270329597], ['ugv', 0.3162181860032642], ['rectifieuse', 0.053823179060435655], ['usiner', 0.07255364653899954], ['mocn', 0.09666499174464582], ['enfonçage', 0.0732799666244969]]"
