num_participant,num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
0,1,0,colline,colline,colline,0.0,colline_0,pittoresque,0.5088151097297668,0.9978823329589643,0.3555688849781328,0.7252741751171881,0.0,1.023067169668827
0,1,0,colline,colline,colline,0.0,colline_0,verdure,0.5410622358322144,0.9651893059815717,0.22516989995016107,0.6492460711660186,0.0,1.023067169668827
0,1,0,colline,colline,colline,0.0,colline_0,coteau,0.5790295004844666,0.8324952599010694,0.24546970688776495,0.5862201754224344,0.0,1.023067169668827
0,1,0,colline,colline,colline,0.0,colline_0,vallée,0.6001933813095093,0.8602263133294503,0.2728762396979313,0.6138764557108927,0.0,1.023067169668827
0,1,0,colline,colline,colline,0.0,colline_0,pittoresque,0.5088151097297668,0.9608823329589644,0.3525688849781328,0.703953633173779,0.0,1.023067169668827
0,1,0,colline,colline,colline,0.0,colline_0,rocher,0.5804415345191956,0.8286687826569225,0.19755941214974257,0.5699440175571735,0.0,1.023067169668827
0,1,1,colline,pittoresque,pittoresque,0.4255517513620903,pittoresque_1,majestueux,0.602446973323822,0.8295349615183082,0.336434528514754,0.6267614611792328,0.6902433655487724,1.023067169668827
0,1,1,colline,pittoresque,pittoresque,0.4255517513620903,pittoresque_1,ruelle,0.5988804697990417,0.8130481934141102,0.32671662536498086,0.6097362123201351,0.6902433655487724,1.023067169668827
0,1,1,colline,pittoresque,pittoresque,0.4255517513620903,pittoresque_1,plain,0.5573537945747375,0.9679617749184866,0.39351422165799377,0.7365099942520467,0.6902433655487724,1.023067169668827
0,1,1,colline,pittoresque,pittoresque,0.4255517513620903,pittoresque_1,hameau,0.5412380695343018,0.970207961236756,0.2810543833743562,0.6903728199848559,0.6902433655487724,1.023067169668827
0,1,1,colline,pittoresque,pittoresque,0.4255517513620903,pittoresque_1,paisible,0.561534583568573,0.8934330595650344,0.3317942818315456,0.6578802823954503,0.6902433655487724,1.023067169668827
0,1,1,colline,pittoresque,pittoresque,0.4255517513620903,pittoresque_1,hameau,0.5412380695343018,0.904207961236756,0.3950543833743562,0.6922507524937317,0.6902433655487724,1.023067169668827
0,1,2,colline,plain,plain,0.8539124575078951,plain_2,border,0.580701470375061,0.9327008510426245,0.2443918959915419,0.6495552859189474,0.5432090001963318,0.9325033596264575
0,1,2,colline,plain,plain,0.8539124575078951,plain_2,coteau,0.6089638471603394,0.8154488737140579,0.223270812747923,0.5710881571952338,0.5432090001963318,0.9325033596264575
0,1,2,colline,plain,plain,0.8539124575078951,plain_2,ruelle,0.5388554334640503,0.8879559374885425,0.38662068769662855,0.682812589318848,0.5432090001963318,0.9325033596264575
0,1,2,colline,plain,plain,0.8539124575078951,plain_2,splendide,0.5677806735038757,0.8651517465170283,0.3407409006572765,0.6527328474080925,0.5432090001963318,0.9325033596264575
0,1,2,colline,plain,plain,0.8539124575078951,plain_2,hameau,0.5781512260437012,0.9603879036435238,0.2620361671872211,0.6761115346924353,0.5432090001963318,0.9325033596264575
0,1,2,colline,plain,plain,0.8539124575078951,plain_2,splendide,0.5677806735038757,0.8111517465170284,0.35474090065727654,0.6245098928726825,0.5432090001963318,0.9325033596264575
