num_participant,num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
0,1,2,rayon,rotation,rotation,0.8420348827372756,rotation_2,courbure,0.38568437099456787,0.9277757764845951,0.4856770072602527,0.7736462001145203,0.7314087197915907,0.9553005724837024
0,1,3,rayon,courbure,courbure,1.29662128964498,courbure_3,vitesse,0.2517547607421875,0.8378175324583549,0.46012110437584225,0.7088488447593286,0.7804397487327522,0.8992479528549934
0,1,3,rayon,courbure,courbure,1.29662128964498,courbure_3,inclinaison,0.25455522537231445,0.7977118866011681,0.5536291888617231,0.713175674869638,0.7804397487327522,0.8992479528549934
0,1,4,rayon,inclinaison,inclinaison,0.7501032201486412,inclinaison_4,sphéricité,0.18335820734500885,0.7852392439918418,0.6311722898988353,0.7326597975373855,0.7794697024071494,0.846484241720364
0,1,4,rayon,inclinaison,inclinaison,0.7501032201486412,inclinaison_4,déflexion,0.19360047578811646,0.8428420570085644,0.5601723420232749,0.7460941881142455,0.7794697024071494,0.846484241720364
0,1,5,rayon,déflexion,déflexion,1.2250057067471116,déflexion_5,vitesse,0.13152334094047546,0.9011164106890991,0.5691804750184916,0.786142430554462,0.7582540777276727,0.7968164611395487
0,1,5,rayon,déflexion,déflexion,1.2250057067471116,déflexion_5,vitesse,0.13152334094047546,0.8921164106890991,0.6991804750184916,0.8258385435740774,0.7582540777276727,0.7968164611395487
0,1,6,rayon,vitesse,vitesse,1.7322612273557438,vitesse,,,,,,0.7828128136999465,0.7500629562253548
1,1,0,rayon,rayon,rayon,0.0,rayon_0,giration,0.7222117781639099,0.8633880454620099,0.20136537347571126,0.5433739840398235,0.0,1.0829030646369442
1,1,0,rayon,rayon,rayon,0.0,rayon_0,courbure,0.7064785957336426,0.9552113236500581,0.19338385713853634,0.5822002547586067,0.0,1.0829030646369442
1,1,1,rayon,courbure,courbure,0.37482429753041563,courbure_1,ellipsoïde,0.4967540502548218,0.8226753639855513,0.24469366722540362,0.5326773350685428,0.7241209679881424,1.0829030646369442
1,1,1,rayon,courbure,courbure,0.37482429753041563,courbure_1,giration,0.5338181257247925,0.9874282245260542,0.41293934322866,0.7129404728839407,0.7241209679881424,1.0829030646369442
1,1,2,rayon,giration,giration,0.7823336495921647,giration_2,surface,0.34941211342811584,0.9658434056569375,0.4825234203673493,0.733434953269815,0.6280639163715855,1.0165279525542863
1,1,2,rayon,giration,giration,0.7823336495921647,giration_2,rectiligne,0.344774454832077,0.8819892596820581,0.43217106287366336,0.6613744167880028,0.6280639163715855,1.0165279525542863
1,1,3,rayon,surface,surface,1.211560399771047,surface_3,ellipsoïde,0.2381884753704071,0.8762837161717885,0.4513320691343816,0.6688151013917498,0.6109345235903911,0.9542212152392835
1,1,3,rayon,surface,surface,1.211560399771047,surface_3,sphéricité,0.2400130182504654,0.851913269787854,0.527676200366241,0.6941032771193917,0.6109345235903911,0.9542212152392835
1,1,4,rayon,sphéricité,sphéricité,0.646530915241074,sphéricité_4,tangentiel,0.16575714945793152,0.8257664700491443,0.6967140136074551,0.7636423677485842,0.6220885086727866,0.8957334870376906
1,1,4,rayon,sphéricité,sphéricité,0.646530915241074,sphéricité_4,déflexion,0.17521633207798004,0.8604100887371045,0.516229893780706,0.6957760378397726,0.6220885086727866,0.8957334870376906
1,1,5,rayon,tangentiel,tangentiel,1.1135081354187975,tangentiel_5,rotation,0.20636117458343506,0.8582537452003489,0.5689214688783507,0.7188943342089146,0.706439658947029,0.8408306868334549
1,1,5,rayon,tangentiel,tangentiel,1.1135081354187975,tangentiel_5,diamètre,0.17528803646564484,0.8594444824722457,0.64515850735724,0.7565957361561526,0.706439658947029,0.8408306868334549
1,1,6,rayon,diamètre,diamètre,0.5924493977494719,diamètre_6,rotation,0.20083028078079224,0.7879512952224279,0.6372034127205781,0.7152244642982786,0.7001281762489255,0.7892930812031487
1,1,6,rayon,diamètre,diamètre,0.5924493977494719,diamètre_6,ellipsoïde,0.18283003568649292,0.8889954686378825,0.6216920620317613,0.7595809519983114,0.7001281762489255,0.7892930812031487
1,1,7,rayon,courbure,ellipsoïde,1.0850213654482626,ellipsoïde,,,,,,0.6466167075351333,0.7409144049931136
2,1,0,rayon,rayon,rayon,0.0,rayon_0,magasin,0.4981423020362854,0.9688142225104366,0.27575481209143504,0.6690503766558752,0.0,0.976193436915058
2,1,0,rayon,rayon,rayon,0.0,rayon_0,supermarché,0.4645034074783325,0.9833966695557378,0.3597975649689943,0.7027720056283207,0.0,0.976193436915058
2,1,1,rayon,supermarché,supermarché,0.43164464217831566,supermarché_1,magasin,0.6852738261222839,0.8641591206905692,0.17484187416298064,0.5588061470202937,0.617846221370931,0.976193436915058
2,1,1,rayon,supermarché,supermarché,0.43164464217831566,supermarché_1,hypermarché,0.6339239478111267,0.985274806235583,0.29238423640412287,0.6845625959317482,0.617846221370931,0.976193436915058
2,1,2,rayon,hypermarché,hypermarché,-0.14126306806751177,hypermarché_2,magasin,0.7288504838943481,0.9822676268281927,0.11312631834983518,0.5879005549477522,0.5998071674308909,0.913399253745156
2,1,2,rayon,hypermarché,hypermarché,-0.14126306806751177,hypermarché_2,caissier,0.5833798050880432,0.9690335873951241,0.2956668433370676,0.6738952972077861,0.5998071674308909,0.913399253745156
2,1,3,rayon,caissier,caissier,-0.7011390572018542,caissier_3,magasin,0.7059173583984375,0.8410692949796091,0.1667406230619334,0.5377379696251072,0.738618279214525,0.8546443411653494
2,1,3,rayon,caissier,caissier,-0.7011390572018542,caissier_3,monoprix,0.5651172399520874,0.959843060433192,0.3524678699179257,0.6904414359678573,0.738618279214525,0.8546443411653494
2,1,4,rayon,monoprix,monoprix,-0.24218978350122722,monoprix_4,magasin,0.7226778268814087,0.9835176695258028,0.2790680343188467,0.6601630271047368,0.6884144907142887,0.7996688708591226
2,1,4,rayon,monoprix,monoprix,-0.24218978350122722,monoprix_4,épicerie,0.5263049602508545,0.9756523381152563,0.4029080386932185,0.7304158182897919,0.6884144907142887,0.7996688708591226
2,1,5,rayon,épicerie,épicerie,0.24049695335644006,épicerie_5,magasin,0.7529049515724182,1.0,0.08469137032523019,0.5850906803342396,0.7199965043088625,0.7482297281102395
