num_participant,num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,similarity_to_cue,adequacy_to_cue,originality_to_cue,likeability_to_cue,goal_value
0,1,0,passion,passion,passion,0.0,passion_0,enthousiasme,0.4778653085231781,0.8577735171261262,0.25556882527446156,0.6446185340531462,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,aventure,0.481462299823761,0.8191385854872658,0.3771020444072134,0.6669447266129959,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,fasciner,0.4440857768058777,0.8201988053838684,0.33111110586851616,0.6513964521784857,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,bonheur,0.5049638152122498,0.9324965282881053,0.32915552344423,0.7165250278412919,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,curiosité,0.45967337489128113,0.8078886407241966,0.29815982144027153,0.624170300558387,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,coeur,0.43052855134010315,0.9286505085564783,0.4187674427974616,0.7491268201158878,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,fasciner,0.4440857768058777,0.8201988053838684,0.44811110586851616,0.6931139845130354,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,adonner,0.4558376371860504,0.9184804071339101,0.4138402387153665,0.7461553706723405,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,passion,passion,passion,0.0,passion_0,tendresse,0.4767153859138489,0.9196563894374241,0.2763589699689209,0.6912187359958725,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,vie,0.48399290442466736,0.898394368700284,0.31137089701644843,0.6961455805803632,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,plaisir,0.563057541847229,0.8196066335168307,0.19980485626069586,0.5998488591000449,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,tristesse,0.46712765097618103,0.8756701392071823,0.3529767442113453,0.6967130087894204,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,ferveur,0.4810789227485657,0.9890997636174005,0.37436461587641356,0.770489979803157,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,vivre,0.5077627301216125,0.9457768343505056,0.25227498827167,0.7047410152723034,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,partager,0.4758170545101166,0.81456473439617,0.29697676319166366,0.6314764936915016,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,partager,0.4758170545101166,0.81256473439617,0.40297676319166365,0.6683495373891639,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,revivre,0.49490684270858765,0.8914905257295233,0.35594443229339184,0.7054480118349268,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,1,passion,coeur,coeur,0.45375301299856613,coeur_1,tendresse,0.6047623753547668,0.9538559775411546,0.2959542937889931,0.7222376548201107,0.43052855134010315,0.8746505085564783,0.4147674427974616,0.7164613874647314,0.9341147681216233
0,1,2,passion,ferveur,ferveur,0.9128468159189496,ferveur_2,tendresse,0.610848605632782,0.9187193117300532,0.3180680232210656,0.7097096650364787,0.4327827990055084,0.8639138428543865,0.45115299746790044,0.7194561675923278,0.8714434389122674
0,1,2,passion,ferveur,ferveur,0.9128468159189496,ferveur_2,revivre,0.5370480418205261,0.8777658248589216,0.32981028583979993,0.6836359812201889,0.4327827990055084,0.8639138428543865,0.45115299746790044,0.7194561675923278,0.8714434389122674
0,1,2,passion,ferveur,ferveur,0.9128468159189496,ferveur_2,heureux,0.4872067868709564,0.8687181661056328,0.2951773823465885,0.6643764683265488,0.4327827990055084,0.8639138428543865,0.45115299746790044,0.7194561675923278,0.8714434389122674
0,1,2,passion,ferveur,ferveur,0.9128468159189496,ferveur_2,émouvoir,0.4920280873775482,0.9762022007863927,0.37889718218093743,0.7624253602511167,0.4327827990055084,0.8639138428543865,0.45115299746790044,0.7194561675923278,0.8714434389122674
0,1,2,passion,ferveur,ferveur,0.9128468159189496,ferveur_2,heureux,0.4872067868709564,0.8027181661056328,0.3381773823465885,0.6429275547527449,0.4327827990055084,0.8639138428543865,0.45115299746790044,0.7194561675923278,0.8714434389122674
0,1,2,passion,ferveur,ferveur,0.9128468159189496,ferveur_2,splendeur,0.4878603219985962,0.8487838853446839,0.3077320201194319,0.6550419738362225,0.4327827990055084,0.8639138428543865,0.45115299746790044,0.7194561675923278,0.8714434389122674
0,1,2,passion,ferveur,ferveur,0.9128468159189496,ferveur_2,revivre,0.5370480418205261,0.9237658248589217,0.40881028583979995,0.742492137515712,0.4327827990055084,0.8639138428543865,0.45115299746790044,0.7194561675923278,0.8714434389122674
