num_participant,num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
0,1,0,acte,acte,acte,0.0,acte_0,jugement,0.7224493026733398,0.8654540656716221,0.10421383734200593,0.5778490105455996,0.0,1.0148471073971397
0,1,0,acte,acte,acte,0.0,acte_0,civil,0.735914945602417,0.9583475540227024,0.19460635233199097,0.6742307005634749,0.0,1.0148471073971397
0,1,1,acte,civil,civil,0.4148458982915838,civil_1,autorité,0.5159972906112671,0.8756046417645768,0.39076376020434916,0.7035431107095842,0.7148378539197708,1.0148471073971397
0,1,1,acte,civil,civil,0.4148458982915838,civil_1,autorité,0.5159972906112671,0.8096046417645768,0.27276376020434917,0.6260173235937847,0.7148378539197708,1.0148471073971397
0,1,2,acte,autorité,autorité,0.8370198991196949,autorité_2,juridiction,0.3976990878582001,0.9174851554201312,0.4027047987543464,0.7393858071899734,0.6544685413613395,0.9553005724837024
0,1,2,acte,autorité,autorité,0.8370198991196949,autorité_2,responsabilité,0.3782857358455658,0.7926648305664503,0.4902622784197846,0.6894586850069154,0.6544685413613395,0.9553005724837024
0,1,3,acte,juridiction,juridiction,1.2830412077962627,juridiction_3,juge,0.30732277035713196,0.8761486186342302,0.4414147830485998,0.7222240559318845,0.7234963714268852,0.8992479528549934
0,1,3,acte,juridiction,juridiction,1.2830412077962627,juridiction_3,administratif,0.29046139121055603,0.8830060287688316,0.4905152140563219,0.7490634264965857,0.7234963714268852,0.8992479528549934
0,1,4,acte,administratif,administratif,1.7454950762066608,administratif_4,judiciaire,0.24492724239826202,0.8825780375527854,0.5552374254184124,0.7709525412393164,0.6909149786392177,0.846484241720364
0,1,4,acte,administratif,administratif,1.7454950762066608,administratif_4,décision,0.21155954897403717,0.7593587892870376,0.5389955968938593,0.6837502521243386,0.6909149786392177,0.846484241720364
0,1,5,acte,judiciaire,judiciaire,2.2266121510863988,judiciaire_5,compétent,0.15565823018550873,0.8525709802953811,0.6949880260358463,0.799090269483929,0.7860541890858249,0.7968164611395487
0,1,5,acte,judiciaire,judiciaire,2.2266121510863988,judiciaire_5,tribunal,0.16992199420928955,0.776837210801304,0.5115217716435997,0.6854644120600794,0.7860541890858249,0.7968164611395487
0,1,6,acte,judiciaire,compétent,2.727180603172494,compétent,,,,,,0.7369234890602728,0.7500629562253548
1,1,0,acte,acte,acte,0.0,acte_0,accomplissement,0.7244906425476074,0.9410251938509434,0.17991110776314823,0.5622177922911066,0.0,1.0829030646369442
1,1,0,acte,acte,acte,0.0,acte_0,accomplissement,0.7244906425476074,0.9070251938509434,0.20091110776314824,0.5648542425584733,0.0,1.0829030646369442
1,1,1,acte,accomplissement,accomplissement,0.37048779448038227,accomplissement_1,intéressé,0.488427996635437,0.9878409401176561,0.26134535489733385,0.6361726220023958,0.6675550281637167,1.0829030646369442
1,1,1,acte,accomplissement,accomplissement,0.37048779448038227,accomplissement_1,accomplir,0.6142928004264832,0.8732208669008539,0.28887157624520343,0.5922805749210135,0.6675550281637167,1.0829030646369442
1,1,2,acte,intéressé,intéressé,0.7588051838217451,intéressé_2,subordonner,0.3990963399410248,0.7926768073699223,0.46266903545320764,0.633852922910824,0.6842747528098164,1.0165279525542863
1,1,2,acte,intéressé,intéressé,0.7588051838217451,intéressé_2,alinéa,0.3623928129673004,0.8211124489407544,0.3484216325428252,0.587842642910778,0.6842747528098164,1.0165279525542863
1,1,3,acte,subordonner,subordonner,0.16313642641087955,subordonner_3,justifier,0.2715362310409546,0.9388438332093402,0.49472437993524676,0.7267042782953813,0.6141903481929114,0.9542212152392835
