num_participant,num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
0,1,0,visage,visage,visage,0.0,visage_0,ombre,0.4782011806964874,0.9918076878111504,0.3533381794350021,0.7340059427584912,0.0,1.023067169668827
0,1,0,visage,visage,visage,0.0,visage_0,pâle,0.5104638338088989,0.965047758225914,0.356463712281395,0.7154034239307312,0.0,1.023067169668827
0,1,0,visage,visage,visage,0.0,visage_0,sombre,0.46824193000793457,0.9477857565258961,0.41220485619492325,0.7269083120132375,0.0,1.023067169668827
0,1,0,visage,visage,visage,0.0,visage_0,peau,0.4699484407901764,0.9009622767399112,0.42802414624399393,0.7089827944033766,0.0,1.023067169668827
0,1,0,visage,visage,visage,0.0,visage_0,peau,0.4699484407901764,0.9929622767399112,0.3240241462439939,0.705790578980001,0.0,1.023067169668827
0,1,0,visage,visage,visage,0.0,visage_0,épaule,0.4652472734451294,0.8514743601343854,0.2922810147628402,0.6251972809819742,0.0,1.023067169668827
0,1,1,visage,ombre,ombre,0.4277346932724161,ombre_1,obscurité,0.6019026041030884,0.8444600655875636,0.3487826919206402,0.6361162917411112,0.735605632630654,1.023067169668827
0,1,1,visage,ombre,ombre,0.4277346932724161,ombre_1,pâle,0.5879517197608948,0.9796115931385914,0.304726289929245,0.6906520634595714,0.735605632630654,1.023067169668827
0,1,1,visage,ombre,ombre,0.4277346932724161,ombre_1,reflet,0.5489684343338013,0.8980377495681133,0.2869870728254879,0.6472333495287859,0.735605632630654,1.023067169668827
0,1,1,visage,ombre,ombre,0.4277346932724161,ombre_1,ciel,0.546029806137085,0.9147200110120901,0.23391080395472974,0.6278554196639258,0.735605632630654,1.023067169668827
0,1,1,visage,ombre,ombre,0.4277346932724161,ombre_1,obscur,0.5209178924560547,0.999102772600673,0.3594852357504191,0.7353793823520214,0.735605632630654,1.023067169668827
0,1,1,visage,ombre,ombre,0.4277346932724161,ombre_1,silhouette,0.6231578588485718,0.8935574350113672,0.23322638935687603,0.6123219302968237,0.735605632630654,1.023067169668827
0,1,2,visage,obscur,obscur,0.8558127464432147,obscur_2,deviner,0.5259019136428833,0.8776110447607165,0.3381752466584662,0.6586434039489267,0.7777512088873487,0.9325033596264575
0,1,2,visage,obscur,obscur,0.8558127464432147,obscur_2,reflet,0.5342854261398315,0.8854769052430035,0.21463105887158604,0.6019048843905118,0.7777512088873487,0.9325033596264575
0,1,2,visage,obscur,obscur,0.8558127464432147,obscur_2,illuminer,0.5978696942329407,0.9579119005673268,0.21036385434506372,0.6353675780259486,0.7777512088873487,0.9325033596264575
0,1,2,visage,obscur,obscur,0.8558127464432147,obscur_2,pâle,0.5887773036956787,0.9097173587273826,0.245195827269196,0.6241221423535165,0.7777512088873487,0.9325033596264575
0,1,2,visage,obscur,obscur,0.8558127464432147,obscur_2,contempler,0.5820788145065308,0.9638714327004131,0.37550455346839107,0.7261807997603055,0.7777512088873487,0.9325033596264575
0,1,2,visage,obscur,obscur,0.8558127464432147,obscur_2,surgir,0.5594749450683594,0.9211999491686826,0.2501335399091424,0.6311883212701273,0.7777512088873487,0.9325033596264575
0,1,3,visage,contempler,contempler,0.30423210647667676,contempler_3,splendeur,0.5875557065010071,0.8705610132882545,0.271980797447812,0.6194099950638916,0.6369180971402361,0.8499564266108871
0,1,3,visage,contempler,contempler,0.30423210647667676,contempler_3,lueur,0.6451554298400879,0.832185670083814,0.271258389936037,0.6039279785839445,0.6369180971402361,0.8499564266108871
0,1,3,visage,contempler,contempler,0.30423210647667676,contempler_3,obscurité,0.693680465221405,0.8620864849520204,0.15351103394852988,0.5687788665192824,0.6369180971402361,0.8499564266108871
0,1,3,visage,contempler,contempler,0.30423210647667676,contempler_3,étrange,0.5846719741821289,0.9021956483502217,0.24883523200836746,0.6243592627495074,0.6369180971402361,0.8499564266108871
0,1,3,visage,contempler,contempler,0.30423210647667676,contempler_3,lumière,0.6428102850914001,0.9487761293008997,0.1627454599487101,0.6113605265375608,0.6369180971402361,0.8499564266108871
0,1,3,visage,contempler,contempler,0.30423210647667676,contempler_3,âme,0.5805552005767822,0.8806828008596663,0.299486157694835,0.6316240146327053,0.6369180971402361,0.8499564266108871
0,1,4,visage,âme,âme,-0.25035099651786863,âme_4,jaillir,0.5732006430625916,0.8937907445124293,0.2222330327163739,0.6059610366326763,0.7419559893604875,0.7747167017462949
0,1,4,visage,âme,âme,-0.25035099651786863,âme_4,pâle,0.5735567808151245,0.8268332616637892,0.28000282979147995,0.6035660392724705,0.7419559893604875,0.7747167017462949
0,1,4,visage,âme,âme,-0.25035099651786863,âme_4,éternel,0.5837624073028564,0.9150814673501028,0.25242056586494044,0.6443510566163542,0.7419559893604875,0.7747167017462949
0,1,4,visage,âme,âme,-0.25035099651786863,âme_4,sombre,0.6827960014343262,0.9886092178008032,0.29041228620968657,0.6895522849231455,0.7419559893604875,0.7747167017462949
0,1,4,visage,âme,âme,-0.25035099651786863,âme_4,abîme,0.582636833190918,0.9229408603882532,0.2831451920339356,0.6602050937977743,0.7419559893604875,0.7747167017462949
0,1,4,visage,âme,âme,-0.25035099651786863,âme_4,splendeur,0.6031631827354431,0.8986338328929505,0.23097654779684987,0.6082398654987073,0.7419559893604875,0.7747167017462949
0,1,5,visage,sombre,sombre,0.22835789927634398,sombre_5,pâle,0.5711487531661987,0.8215470736893187,0.21056004522680077,0.5633735203129517,0.698068244159244,0.7061373373666188
0,1,5,visage,sombre,sombre,0.22835789927634398,sombre_5,obscurité,0.7133090496063232,0.9879777712121153,0.1470387182386021,0.6305484006157306,0.698068244159244,0.7061373373666188
0,1,5,visage,sombre,sombre,0.22835789927634398,sombre_5,splendeur,0.5978592038154602,0.9579104898283478,0.3453705727645792,0.7097844840985023,0.698068244159244,0.7061373373666188
0,1,5,visage,sombre,sombre,0.22835789927634398,sombre_5,pâle,0.5711487531661987,0.8265470736893187,0.2925600452268008,0.6052906361787671,0.698068244159244,0.7061373373666188
0,1,5,visage,sombre,sombre,0.22835789927634398,sombre_5,illuminer,0.619739294052124,0.9260340437496104,0.32940197017300904,0.6809197692424578,0.698068244159244,0.7061373373666188
0,1,5,visage,sombre,sombre,0.22835789927634398,sombre_5,lumière,0.6411348581314087,0.9244870122598986,0.29680809678675996,0.6679374549260986,0.698068244159244,0.7061373373666188
0,1,6,visage,obscur,splendeur,0.7292696859593149,splendeur,,,,,,0.7001581614524202,0.643628745965141
1,1,0,visage,visage,visage,0.0,visage_0,paupière,0.7495481967926025,0.8726033475604504,0.15185332284510736,0.5111768434903783,0.0,0.9487679642685407
1,1,0,visage,visage,visage,0.0,visage_0,regard,0.7569113969802856,0.8510395908534151,0.1541071521981532,0.5008984081695981,0.0,0.9487679642685407
1,1,0,visage,visage,visage,0.0,visage_0,pâleur,0.7626376152038574,0.9960033853413773,0.23440606237530875,0.6240225507719825,0.0,0.9487679642685407
1,1,0,visage,visage,visage,0.0,visage_0,regard,0.7569113969802856,0.955039590853415,0.1601071521981532,0.560431184473441,0.0,0.9487679642685407
1,1,0,visage,visage,visage,0.0,visage_0,dévisager,0.753637433052063,0.9639441313211072,0.14721922454454198,0.5754278831367774,0.0,0.9487679642685407
1,1,0,visage,visage,visage,0.0,visage_0,buriner,0.7774577140808105,1.0,0.21178200525952856,0.6121591449874308,0.0,0.9487679642685407
1,1,0,visage,visage,visage,0.0,visage_0,regard,0.7569113969802856,1.0,0.1421071521981532,0.5961882328630675,0.0,0.9487679642685407
1,1,0,visage,visage,visage,0.0,visage_0,pâle,0.7552312016487122,0.8804749412446065,0.09819142167765767,0.4765111485497565,0.0,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,silhouette,0.5404329895973206,0.9431226200743436,0.2545833882193314,0.61487881361599,0.6589374844024427,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,fluet,0.5473021864891052,0.8888572248406412,0.22607747908496206,0.5857167597285072,0.6589374844024427,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,silhouette,0.5404329895973206,0.9721226200743436,0.3685833882193314,0.6910465523321204,0.6589374844024427,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,bleuâtre,0.5384116768836975,0.9089091774177768,0.3599126449465056,0.6663740278618606,0.6589374844024427,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,silhouette,0.5404329895973206,0.8801226200743435,0.2225833882193314,0.5705448729680995,0.6589374844024427,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,tuméfier,0.5610992312431335,0.9673836317498923,0.24607725266485242,0.6266346980468627,0.6589374844024427,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,lèvre,0.5616252422332764,0.897443363059253,0.2637353629309803,0.6093587168352356,0.6589374844024427,0.9487679642685407
1,1,1,visage,pâleur,pâleur,0.41881364662586046,pâleur_1,frissonner,0.5392701625823975,0.9719996886316282,0.3523478965186152,0.6849008742753604,0.6589374844024427,0.9487679642685407
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,ombre,0.38484111428260803,0.9826514864231486,0.5083112338512875,0.7696256372637763,0.6866508131965212,0.8713007233555429
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,vêtir,0.37685897946357727,0.851445168138217,0.49834475401683187,0.6987392871498089,0.6866508131965212,0.8713007233555429
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,contempler,0.3683067858219147,0.9050899158623646,0.45187067970194095,0.7066277049484107,0.6866508131965212,0.8713007233555429
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,livide,0.4368084669113159,0.8343780452611749,0.35727874456086833,0.6182462263207139,0.6866508131965212,0.8713007233555429
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,vêtir,0.37685897946357727,0.973445168138217,0.5063447540168319,0.768940959201132,0.6866508131965212,0.8713007233555429
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,fluet,0.4010487496852875,0.7959422353860677,0.32322436460650095,0.5824755334031265,0.6866508131965212,0.8713007233555429
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,empourprer,0.3837730586528778,0.9294932157419096,0.4791153984344419,0.7327737468551909,0.6866508131965212,0.8713007233555429
1,1,2,visage,silhouette,silhouette,0.8543832936417555,silhouette_2,livide,0.4368084669113159,0.8433780452611748,0.30027874456086834,0.5990288062529594,0.6866508131965212,0.8713007233555429
1,1,3,visage,ombre,ombre,1.3289645221188138,ombre_3,pénombre,0.2689948081970215,0.9401068142540108,0.5839329651960312,0.7848053976031786,0.6382127586641655,0.8001587101490887
1,1,3,visage,ombre,ombre,1.3289645221188138,ombre_3,fluet,0.27076804637908936,0.776622183500764,0.5643911496414734,0.685497027135953,0.6382127586641655,0.8001587101490887
