num_participant,num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,similarity_to_cue,adequacy_to_cue,originality_to_cue,likeability_to_cue,goal_value
0,1,0,enfant,enfant,enfant,0.0,enfant_0,crèche,0.48518848419189453,0.9295149491810005,0.3325542431031834,0.7195361749199743,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,nourrisson,0.48904281854629517,0.9689027032338786,0.3169267701962493,0.7364151762673917,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,adolescent,0.6743062138557434,0.974785684306139,0.2677910268109856,0.7286666373527654,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,éduquer,0.4876568615436554,0.8807634295363659,0.44587064698227064,0.7310380373761224,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,écolier,0.4854145050048828,0.8325377270570262,0.4313999447225431,0.6955187415719832,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,maman,0.4694331884384155,0.8399090474581213,0.30938046004037995,0.6550965344882854,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,grandir,0.4668288826942444,0.8516390895365277,0.44618383440925335,0.7127909330100438,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,garçon,0.5188333988189697,0.9248913560599603,0.328872789950771,0.7110287236303617,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,0,enfant,enfant,enfant,0.0,enfant_0,nourrisson,0.48904281854629517,0.8109027032338787,0.2569267701962493,0.6197887924987083,1.0,1.0,0.0,0.0,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,âge,0.4783767759799957,0.9848255453134086,0.41221762228633724,0.7872462663098894,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,maternel,0.5588895678520203,0.8121340302823533,0.3015144230431893,0.6374345097876057,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,parental,0.45698752999305725,0.9876032615698775,0.3540357234943059,0.7644898369173206,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,grands-parents,0.5074852705001831,0.8177490303231486,0.310461240033854,0.6397528292242528,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,biberon,0.4721243977546692,0.8901864469181396,0.455521124172953,0.7431605740949562,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,maman,0.45658016204833984,0.9455597858210372,0.45232064052588966,0.7780792118273242,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,mère,0.5337830781936646,0.885424575624869,0.30796246806004346,0.6801193956755248,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,bébé,0.6455028653144836,0.8872468305596749,0.26403811018797696,0.667909528284022,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,1,enfant,nourrisson,nourrisson,0.45057510203644213,nourrisson_1,fillette,0.43604931235313416,0.9832910850154261,0.36681990603254755,0.7702346825631835,0.48904281854629517,0.8169027032338787,0.3869267701962493,0.6698889346885687,0.9341147681216233
0,1,2,enfant,âge,âge,0.9138579765835086,âge_2,mère,0.5306596755981445,0.9971005522518036,0.3880253126098695,0.7836732975981147,0.485713392496109,0.8035678400510539,0.3151959448530177,0.6376493416824222,0.8714434389122674
0,1,2,enfant,âge,âge,0.9138579765835086,âge_2,garçon,0.5158573389053345,0.8105905187828705,0.28485716633304853,0.6312221138864196,0.485713392496109,0.8035678400510539,0.3151959448530177,0.6376493416824222,0.8714434389122674
0,1,2,enfant,âge,âge,0.9138579765835086,âge_2,infantile,0.46001511812210083,0.9209247988596853,0.32092145669249805,0.7101165299549034,0.485713392496109,0.8035678400510539,0.3151959448530177,0.6376493416824222,0.8714434389122674
0,1,2,enfant,âge,âge,0.9138579765835086,âge_2,fille,0.431363046169281,0.9017482836007253,0.3611693771169432,0.7104240261940988,0.485713392496109,0.8035678400510539,0.3151959448530177,0.6376493416824222,0.8714434389122674
0,1,2,enfant,âge,âge,0.9138579765835086,âge_2,pédiatre,0.46421992778778076,0.8993670254181069,0.38799450520207224,0.7208230591031906,0.485713392496109,0.8035678400510539,0.3151959448530177,0.6376493416824222,0.8714434389122674
0,1,2,enfant,âge,âge,0.9138579765835086,âge_2,adolescence,0.5187139511108398,0.8118792597306203,0.3629523590669211,0.6543685465991251,0.485713392496109,0.8035678400510539,0.3151959448530177,0.6376493416824222,0.8714434389122674
