,lemme,phon,cgram,freqlemfilms2,freqlemlivres
202,peur,p2R,NOM,557.21,311.69
205,perdre,pERdR,VER,546.08,377.36
206,maman,mam@,NOM,540.21,144.39
207,sentir,s@tiR,VER,535.4,718.78
209,rentrer,R@tRe,VER,532.51,279.93
213,problème,pRoblEm,NOM,520.07,95.0
214,argent,aRZ@,NOM,515.1,194.39
216,vivre,vivR,VER,510.19,460.34
217,rendre,R@dR,VER,508.81,468.11
218,tenir,t°niR,VER,504.69,741.22
220,main,m5,NOM,499.6,1229.39
223,oublier,ublije,VER,486.96,286.96
224,air,ER,NOM,485.18,690.81
226,fils,fis,NOM,480.15,247.64
227,travailler,tRavaje,VER,479.49,202.7
229,tête,tEt,NOM,475.87,923.45
231,coup,ku,NOM,471.82,837.7
232,écouter,ekute,VER,470.93,314.05
233,raison,REz§,NOM,467.94,308.78
234,manger,m@Ze,VER,467.82,280.61
235,mort,mOR,NOM,460.05,452.7
236,amour,amuR,NOM,458.27,403.92
238,entrer,@tRe,VER,450.11,398.38
239,devenir,d°v°niR,VER,438.57,533.51
241,commencer,kom@se,VER,436.83,421.89
242,moment,mom@,NOM,433.59,688.24
243,dernier,dERnje,ADJ,431.08,403.11
244,voiture,vwatyR,NOM,429.4,283.11
247,payer,peje,VER,416.68,150.2
248,tirer,tiRe,VER,415.14,383.24
249,ouvrir,uvRiR,VER,413.32,492.5
250,oeil,9j,NOM,413.04,1234.59
251,fait,fE,NOM,412.07,355.54
252,changer,S@Ze,VER,411.99,246.49
253,question,kEstj§,NOM,411.82,328.45
254,tomber,t§be,VER,407.82,441.42
256,même,mEm,ADJ,402.93,804.8
257,foutre,futR,VER,400.67,172.3
258,excuser,Ekskyze,VER,399.19,61.82
259,affaire,afER,NOM,393.83,253.38
260,dormir,dORmiR,VER,392.09,259.05
262,frère,fRER,NOM,390.39,216.35
263,travail,tRavaj,NOM,389.83,263.45
264,idée,ide,NOM,389.77,328.45
266,famille,famij,NOM,384.92,274.39
267,truc,tRyk,NOM,381.34,87.77
270,merci,mERsi,NOM,379.38,53.51
272,premier,pR2mje,ADJ,376.98,672.57
274,occuper,okype,VER,375.14,219.8
276,marcher,maRSe,VER,364.37,325.61
277,chance,S@s,NOM,360.6,136.35
279,envoyer,@vwaje,VER,360.16,177.64
280,histoire,istwaR,NOM,359.92,359.53
282,apprendre,apR@dR,VER,348.47,286.69
283,minute,minyt,NOM,342.28,201.42
284,boire,bwaR,VER,339.05,274.32
285,garder,gaRde,VER,338.4,257.5
287,type,tip,NOM,334.85,184.19
288,porte,pORt,NOM,333.85,617.43
289,tout,tu,NOM,330.7,281.01
290,montrer,m§tRe,VER,327.33,276.55
291,mal,mal,NOM,326.58,193.92
292,mec,mEk,NOM,325.54,72.3
293,asseoir,aswaR,VER,322.71,395.27
294,fou,fu,ADJ,321.31,164.32
295,porter,poRte,VER,319.98,474.93
296,année,ane,NOM,316.25,375.54
298,souvenir,suv°niR,VER,315.05,215.41
299,prêt,pRE,ADJ,314.64,121.28
301,prier,pRije,VER,313.12,105.74
303,mois,mwa,NOM,312.31,304.86
304,servir,sERviR,VER,309.81,286.22
305,madame,madam,NOM,307.36,203.45
306,putain,pyt5,NOM,306.74,40.41
307,écrire,ekRiR,VER,305.92,341.82
308,part,paR,NOM,305.89,320.41
309,eau,o,NOM,305.74,459.86
310,sang,s@,NOM,304.75,207.3
311,place,plas,NOM,301.3,468.58
312,espérer,EspeRe,VER,301.08,134.93
313,désoler,dezole,VER,297.27,14.46
314,jeune,Z9n,ADJ,297.01,569.19
315,personne,pERsOn,NOM,296.74,209.8
317,retrouver,R°tRuve,VER,295.17,416.22
318,ville,vil,NOM,295.14,352.97
319,terre,tER,NOM,294.45,452.91
320,gagner,gaNe,VER,294.44,180.88
321,semaine,s°mEn,NOM,290.85,197.5
322,acheter,aS°te,VER,290.7,148.38
324,gars,ga,NOM,289.63,59.26
325,chambre,S@bR,NOM,288.64,413.31
327,côté,kote,NOM,285.99,566.49
330,vieux,vj2,ADJ,282.2,512.91
331,rappeler,Rap°le,VER,281.75,202.23
332,lire,liR,VER,281.09,324.8
333,cas,ka,NOM,280.59,217.36
334,mot,mo,NOM,279.55,553.78
337,salut,saly,NOM,277.42,61.82
338,monter,m§te,VER,277.32,404.59
339,désolé,dezole,ADJ,276.66,12.43
340,quitter,kite,VER,276.23,318.72
341,police,polis,NOM,276.21,83.72
342,suite,s8it,NOM,275.9,275.81
343,matin,mat5,NOM,275.01,396.76
344,emmener,@m°ne,VER,272.71,105.47
345,toucher,tuSe,VER,270.27,190.27
346,continuer,k§tin8e,VER,269.95,282.77
347,gros,gRo,ADJ,266.95,353.45
349,mari,maRi,NOM,264.15,124.26
351,revoir,R°vwaR,NOM,262.05,36.01
352,importer,5pORte,VER,259.37,173.11
353,papa,papa,NOM,259.01,77.16
355,train,tR5,NOM,255.28,288.65
356,manquer,m@ke,VER,253.94,197.64
357,raconter,Rak§te,VER,253.84,261.89
360,mauvais,movE,ADJ,252.69,200.61
361,film,film,NOM,252.66,74.12
362,répondre,Rep§dR,VER,251.57,466.76
363,garçon,gaRs§,NOM,251.51,262.5
365,corps,kOR,NOM,250.15,480.34
368,heureux,2R2,ADJ,248.45,190.0
370,sauver,sove,VER,246.54,99.05
372,retourner,R°tuRne,VER,245.35,290.88
374,rencontrer,R@k§tRe,VER,241.04,188.51
375,coeur,k9R,NOM,239.97,400.74
376,voler,vole,VER,238.82,88.65
377,fermer,fERme,VER,238.65,197.16
379,valoir,valwaR,VER,236.07,175.74
380,descendre,des@dR,VER,235.97,301.62
381,ok,oke,ADJ,234.89,1.15
382,feu,f2,NOM,233.96,236.15
383,docteur,dOkt9R,NOM,233.86,87.36
384,suffire,syfiR,VER,232.08,159.39
385,façon,fas§,NOM,230.48,277.3
386,nouveau,nuvo,NOM,229.97,292.43
387,important,5pORt@,ADJ,229.36,86.76
388,sembler,s@ble,VER,229.25,572.84
389,compter,k§te,VER,227.78,203.72
391,joli,Zoli,ADJ,226.45,120.0
392,point,pw5,NOM,225.32,323.58
395,chien,Sj5,NOM,223.53,184.59
398,petit,p°ti,NOM,221.75,169.66
399,guerre,gER,NOM,221.65,354.59
400,genre,Z@R,NOM,221.51,157.91
402,meilleur,mEj9R,ADJ,221.17,86.82
403,marier,maRje,VER,220.51,65.07
404,arme,aRm,NOM,220.22,111.49
405,cause,koz,NOM,218.6,197.3
406,endroit,@dRwa,NOM,218.24,137.57
407,ordre,ORdR,NOM,217.25,235.34
408,poser,poze,VER,217.2,409.05
409,reste,REst,NOM,214.54,168.58
410,pied,pje,NOM,214.08,486.42
411,envie,@vi,NOM,213.96,258.11
412,fin,f5,NOM,213.37,314.53
413,merde,mERd,NOM,213.05,62.77
415,inquiéter,5kjete,VER,212.16,71.01
416,bouger,buZe,VER,211.9,156.76
419,apporter,apORte,VER,209.91,159.32
420,nouveau,nuvo,ADJ,209.45,185.61
422,photo,foto,NOM,209.1,94.59
423,plein,pl5,ADJ,208.75,370.41
425,décider,deside,VER,207.76,214.19
427,droit,dRwa,NOM,207.62,163.72
429,vendre,v@dR,VER,206.95,92.64
430,école,ekOl,NOM,206.88,143.99
431,cher,SER,ADJ,205.75,133.65
432,chef,SEf,NOM,205.26,205.95
433,tourner,tuRne,VER,204.15,377.09
434,cacher,kaSe,VER,204.13,181.89
436,boulot,bulo,NOM,202.97,35.61
437,pays,pei,NOM,202.57,241.55
439,possible,posibl,ADJ,201.41,211.96
440,expliquer,Eksplike,VER,200.93,233.92
441,battre,batR,VER,200.35,182.36
442,peine,pEn,NOM,199.75,399.53
443,livre,livR,NOM,198.11,286.49
444,agir,aZiR,VER,195.94,219.73
445,imaginer,imaZine,VER,194.29,241.15
446,tour,tuR,NOM,193.82,308.72
448,adorer,adoRe,VER,193.67,44.59
449,vérité,veRite,NOM,193.24,140.88
450,recevoir,R°s°vwaR,VER,192.73,224.46
451,gentil,Z@ti,ADJ,192.64,64.86
452,jeter,Z°te,VER,192.18,336.82
453,pleurer,pl2Re,VER,191.64,163.31
454,bébé,bebe,NOM,191.63,45.2
455,partie,paRti,NOM,191.19,211.49
456,nouvelle,nuvEl,ADJ,191.15,172.5
457,jeu,Z2,NOM,190.44,173.31
458,amener,am°ne,VER,190.32,93.92
459,instant,5st@,NOM,189.41,340.2
460,parent,paR@,NOM,188.38,146.35
461,dur,dyR,ADJ,187.84,146.69
462,service,sERvis,NOM,187.67,142.77
463,plaisir,pleziR,NOM,186.37,233.85
464,promettre,pRomEtR,VER,185.26,101.42
465,mentir,m@tiR,VER,185.16,52.03
466,soeur,s9R,NOM,184.99,161.01
468,lit,li,NOM,184.27,338.18
470,utiliser,ytilize,VER,182.44,43.51
471,lieu,lj2,NOM,182.0,267.57
472,coucher,kuSe,VER,181.96,196.22
475,préférer,pRefeRe,VER,179.44,133.38
476,content,k§t@,ADJ,178.94,86.49
477,pauvre,povR,ADJ,178.03,187.77
478,offrir,ofRiR,VER,177.8,213.99
479,roi,Rwa,NOM,177.53,98.92
480,verre,vER,NOM,176.57,230.07
481,réveiller,Reveje,VER,175.94,125.41
483,aide,Ed,NOM,175.59,55.54
485,journée,ZuRne,NOM,174.89,179.39
486,préparer,pRepaRe,VER,174.33,154.12
487,numéro,nymeRo,NOM,173.48,70.07
488,permettre,pERmEtR,VER,172.86,184.19
490,ramener,Ram°ne,VER,172.7,109.26
491,enlever,@l°ve,VER,172.47,78.78
492,chéri,SeRi,NOM,171.98,36.28
494,lâcher,laSe,VER,171.08,89.19
495,choisir,SwaziR,VER,170.48,133.92
496,musique,myzik,NOM,169.8,114.32
497,conduire,k§d8iR,VER,169.64,144.66
498,faute,fot,NOM,169.26,95.2
499,calmer,kalme,VER,168.54,45.07
500,mariage,maRjaZ,NOM,167.39,78.72
502,bureau,byRo,NOM,167.13,150.07
503,route,Rut,NOM,166.72,288.04
504,chanter,S@te,VER,166.34,125.81
505,disparaître,dispaREtR,VER,166.13,183.31
506,lever,l°ve,VER,165.98,440.74
507,présenter,pRez@te,VER,165.88,135.14
508,accepter,aksEpte,VER,165.84,144.66
510,long,l§,ADJ,164.02,444.86
511,café,kafe,NOM,163.56,177.3
512,propre,pROpR,ADJ,163.24,207.5
513,confiance,k§fj@s,NOM,162.9,91.96
514,revoir,R°vwaR,VER,162.84,139.46
516,bonsoir,b§swaR,NOM,161.17,22.23
517,compte,k§t,NOM,160.95,208.38
518,téléphone,telefOn,NOM,160.8,96.82
519,casser,kase,VER,160.61,92.7
520,prochain,pRoS5,ADJ,160.27,59.32
521,frapper,fRape,VER,160.04,168.31
522,facile,fasil,ADJ,159.35,98.65
524,rêve,REv,NOM,158.75,128.58
525,copain,kop5,NOM,158.62,103.38
526,attention,at@sj§,NOM,158.52,124.53
