num_path,num_step,cue,best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability
1,1,genre,genre,0.0,genre,mais,0.575232744216919,0.03223442797304705,-0.22238833589678275,-0.09507695396186785
1,1,genre,genre,0.0,genre,assez,0.5488433241844177,0.030755638964875834,-0.20863134068327321,-0.0889378508591987
1,1,genre,genre,0.0,genre,vraiment,0.5477221012115479,0.030692808777401194,-0.208054409409232,-0.08868080031591541
1,1,genre,genre,0.0,genre,plutôt,0.5473201870918274,0.030670286638538748,-0.2078477525941337,-0.08858873297779749
1,2,genre,genre,-0.1777177465955595,plutôt,assez,0.7419214248657227,0.43738912675934466,-1.2245954687093183,-0.39360317097498687
1,2,genre,genre,-0.1777177465955595,plutôt,mais,0.7314835786819458,0.43123564436274614,-1.2001323229884768,-0.3844483393128654
1,2,genre,genre,-0.1777177465955595,plutôt,surtout,0.7112793922424316,0.419324556250873,-1.1533664689184122,-0.36702095633376963
1,2,genre,genre,-0.1777177465955595,plutôt,forcément,0.6937745213508606,0.4090048108752963,-1.1134740929963414,-0.35223464106052255
1,3,genre,genre,-0.40016467480766404,forcément,mais,0.779265820980072,0.0755352180479281,-1.118237406193157,-0.5213510940726145
1,3,genre,genre,-0.40016467480766404,forcément,assez,0.765052318572998,0.07415748534794543,-1.0890711911925695,-0.507456852922312
1,3,genre,genre,-0.40016467480766404,forcément,surtout,0.7558084726333618,0.07326146771204589,-1.0702776286525562,-0.49850808047025513
1,3,genre,genre,-0.40016467480766404,forcément,évidemment,0.7200778126716614,0.06979804981466009,-0.9989300426996732,-0.46456599644250657
1,4,genre,genre,-0.6374778740961654,évidemment,mais,0.8070564270019531,0.3559160215628181,-0.1827297951910244,0.08659311318589685
1,4,genre,genre,-0.6374778740961654,évidemment,surtout,0.781979501247406,0.3448569687519259,-0.17459500934321892,0.08513097970435349
1,4,genre,genre,-0.6374778740961654,évidemment,ailleurs,0.7638764381408691,0.3368734251192777,-0.1688204394360503,0.0840264928416137
1,4,genre,genre,-0.6374778740961654,évidemment,assez,0.7595988512039185,0.3349869873516681,-0.1674679569365772,0.08375951520754545
1,5,genre,mais,-0.7573392514589861,mais,surtout,0.8140262961387634,0.347691826242414,-0.9849307841179845,-0.31861947893778525
1,5,genre,mais,-0.7573392514589861,mais,pas,0.7890238165855408,0.3370126162246498,-0.9415208318189272,-0.3022541077971387
1,5,genre,mais,-0.7573392514589861,mais,ailleurs,0.7828218936920166,0.334363613474625,-0.9308819748003397,-0.2982591806628574
1,5,genre,mais,-0.7573392514589861,mais,assez,0.7825499773025513,0.33424747090467744,-0.9304167001276855,-0.29808461461150404
1,6,genre,mais,-0.9472771743812869,assez,surtout,0.8227160573005676,0.38967308462515104,-0.225752056649264,0.08196051398794352
1,6,genre,mais,-0.9472771743812869,assez,pas,0.7882661819458008,0.3733561681442811,-0.21221094575285748,0.0805726111957118
1,6,genre,mais,-0.9472771743812869,assez,ailleurs,0.7780595421791077,0.36852187231858047,-0.20826766874473546,0.0801271017869225
1,6,genre,mais,-0.9472771743812869,assez,cela,0.7736672759056091,0.3664415094374851,-0.2065803949524253,0.0799305572425299
1,7,genre,mais,-1.054690021583698,surtout,pas,0.7915288209915161,0.08202221390447471,-0.7363892236868868,-0.327183504891206
1,7,genre,mais,-1.054690021583698,surtout,ailleurs,0.7839101552963257,0.08123272928844417,-0.7261998597701297,-0.32248356524084276
1,7,genre,mais,-1.054690021583698,surtout,cela,0.7762369513511658,0.08043759314351623,-0.7159984884824158,-0.3177804476694498
1,7,genre,mais,-1.054690021583698,surtout,aussi,0.7729793787002563,0.08010002701364674,-0.7116861018182508,-0.315793037402302
1,8,genre,mais,-1.2354633315641586,aussi,,,,,
2,1,genre,genre,0.0,genre,mais,0.575232744216919,0.3813380528412688,-0.6477950898334901,-0.13322851849611064
2,1,genre,genre,0.0,genre,assez,0.5488433241844177,0.36384376004939406,-0.6077223319065163,-0.1219392859285611
2,1,genre,genre,0.0,genre,vraiment,0.5477221012115479,0.3631004696342124,-0.6060417885228528,-0.12147065944432023
2,1,genre,genre,0.0,genre,plutôt,0.5473201870918274,0.3628340293987347,-0.6054398177874657,-0.12130289419436549
2,2,genre,genre,-0.18426057883887312,plutôt,assez,0.7419214248657227,0.5314384190868389,-0.26672511397108567,0.1323566525578766
2,2,genre,genre,-0.18426057883887312,plutôt,mais,0.7314835786819458,0.5239617884239868,-0.261396876608457,0.13128245590776488
2,2,genre,genre,-0.18426057883887312,plutôt,surtout,0.7112793922424316,0.5094895268872689,-0.2512109596460662,0.12913928362060134
2,2,genre,genre,-0.18426057883887312,plutôt,forcément,0.6937745213508606,0.49695078545030413,-0.2425221323669597,0.12721432654167222
2,3,genre,assez,-0.3097892483272978,assez,mais,0.7831507921218872,0.0038420056500549854,-0.16916574467147888,-0.08266186951071194
2,3,genre,assez,-0.3097892483272978,assez,surtout,0.758262574672699,0.0037199082544812656,-0.1615036402769875,-0.07889186601125311
2,3,genre,assez,-0.3097892483272978,assez,forcément,0.7226167321205139,0.0035450357652184947,-0.15079107494336885,-0.07362301958907518
2,3,genre,assez,-0.3097892483272978,assez,très,0.7042587399482727,0.003454974553049742,-0.14539408467211007,-0.07096955505953016
2,4,genre,assez,-0.4683831593392038,très,mais,0.7928218841552734,0.4490680232403372,-0.9929278468975148,-0.27192991182858883
2,4,genre,assez,-0.4683831593392038,très,surtout,0.7869713306427002,0.4457541685735322,-0.9823842991595366,-0.2683150652930022
2,4,genre,assez,-0.4683831593392038,très,beaucoup,0.7365824580192566,0.4172130398855566,-0.8935558409150781,-0.23817140051476077
2,4,genre,assez,-0.4683831593392038,très,peu,0.7276710867881775,0.41216548514081675,-0.8782155059619821,-0.23302501041058266
2,5,genre,assez,-0.6521681614213204,peu,surtout,0.8049928545951843,0.11458986982174355,-0.6247990879252862,-0.2551046090517713
2,5,genre,assez,-0.6521681614213204,peu,mais,0.8035686612129211,0.11438713742065088,-0.6232015803703462,-0.2544072214748477
2,5,genre,assez,-0.6521681614213204,peu,beaucoup,0.7515726089477539,0.10698555512548086,-0.5660723777113614,-0.22954341129294029
2,5,genre,assez,-0.6521681614213204,peu,certainement,0.7295467853546143,0.10385020275080195,-0.5425731984327201,-0.2193614978409591
2,6,genre,assez,-0.8263614609895122,certainement,surtout,0.8200563788414001,0.4402035001044084,-0.4603394758699611,-0.010067987882776352
2,6,genre,assez,-0.8263614609895122,certainement,mais,0.8159956336021423,0.438023705747002,-0.4570379904349623,-0.009507142343980146
2,6,genre,assez,-0.8263614609895122,certainement,beaucoup,0.7738665342330933,0.41540894720478655,-0.4233861753979292,-0.003988614096571336
2,6,genre,assez,-0.8263614609895122,certainement,aussi,0.7398695349693298,0.39715947258927353,-0.3970283286020017,6.557199363591004e-05
2,7,genre,assez,-0.9501532965907851,aussi,surtout,0.8405315279960632,0.6275656714113161,-0.29297061225540894,0.1672975295779536
2,7,genre,assez,-0.9501532965907851,aussi,mais,0.8385078310966492,0.6260547195182424,-0.2919438938451216,0.16705541283656042
2,7,genre,assez,-0.9501532965907851,aussi,beaucoup,0.7936776876449585,0.5925832099583326,-0.2695971931011236,0.16149300842860448
2,7,genre,assez,-0.9501532965907851,aussi,encore,0.7653430104255676,0.5714277028284522,-0.2558656653993963,0.15778101871452796
2,8,genre,surtout,-1.0343084931751942,surtout,,,,,
3,1,genre,genre,0.0,genre,mais,0.575232744216919,0.4720633345749688,-0.5428776374866977,-0.035407151455864455
3,1,genre,genre,0.0,genre,assez,0.5488433241844177,0.45040692203016364,-0.5092950980504019,-0.029444088010119107
3,1,genre,genre,0.0,genre,vraiment,0.5477221012115479,0.44948679315937834,-0.507886736924893,-0.029199971882757303
3,1,genre,genre,0.0,genre,plutôt,0.5473201870918274,0.4491569633270619,-0.507382261889821,-0.029112649281379577
3,2,genre,genre,-0.16582252985627594,plutôt,assez,0.7419214248657227,0.6704182250943433,-0.45585981145158183,0.10727920682138076
3,2,genre,genre,-0.16582252985627594,plutôt,mais,0.7314835786819458,0.6609863336867028,-0.4467533225899424,0.1071165055483802
3,2,genre,genre,-0.16582252985627594,plutôt,surtout,0.7112793922424316,0.642729339942782,-0.429344574996567,0.10669238247310753
3,2,genre,genre,-0.16582252985627594,plutôt,forcément,0.6937745213508606,0.6269115133100538,-0.4144945029271696,0.10620850519144209
3,3,genre,assez,-0.29636668849199976,assez,mais,0.7831507921218872,0.41434497393610065,-0.5752120439712449,-0.08043353501757214
3,3,genre,assez,-0.29636668849199976,assez,surtout,0.758262574672699,0.40117725717703373,-0.5491586917489287,-0.0739907172859475
3,3,genre,assez,-0.29636668849199976,assez,forcément,0.7226167321205139,0.382317957216169,-0.5127328975451854,-0.06520747016450817
3,3,genre,assez,-0.29636668849199976,assez,très,0.7042587399482727,0.3726052149644284,-0.49438158291436296,-0.060888183974967286
3,4,genre,assez,-0.45294432528699324,très,mais,0.7928218841552734,0.072720919667766,-0.6391824427455206,-0.2832307615388773
3,4,genre,assez,-0.45294432528699324,très,surtout,0.7869713306427002,0.0721842825737318,-0.6323951916683932,-0.2801054545473307
3,4,genre,assez,-0.45294432528699324,très,beaucoup,0.7365824580192566,0.06756240566615507,-0.5752132009493115,-0.2538253976415782
3,4,genre,assez,-0.45294432528699324,très,peu,0.7276710867881775,0.06674501764448684,-0.5653380898841,-0.24929653611980657
3,5,genre,assez,-0.6399836325109546,peu,surtout,0.8049928545951843,0.5055964655284652,-0.4468421962394139,0.029377134644525627
3,5,genre,assez,-0.6399836325109546,peu,mais,0.8035686612129211,0.5047019642466328,-0.44569969491674266,0.029501134664945083
3,5,genre,assez,-0.6399836325109546,peu,beaucoup,0.7515726089477539,0.4720445063615909,-0.4048421794707535,0.03360116344541869
3,5,genre,assez,-0.6399836325109546,peu,certainement,0.7295467853546143,0.45821062138301544,-0.3880360971930734,0.03508726209497101
3,6,genre,assez,-0.7632871800919604,certainement,surtout,0.8200563788414001,0.43697057896749325,-0.28617788003904066,0.0753963494642263
3,6,genre,assez,-0.7632871800919604,certainement,mais,0.8159956336021423,0.43480679334979594,-0.2841254553561863,0.07534066899680483
3,6,genre,assez,-0.7632871800919604,certainement,beaucoup,0.7738665342330933,0.41235812101743574,-0.26320523106179083,0.07457644497782245
3,6,genre,assez,-0.7632871800919604,certainement,aussi,0.7398695349693298,0.39424267330586166,-0.2468194264244689,0.07371162344069637
3,7,genre,assez,-0.8720128601991152,surtout,mais,0.8343240022659302,0.5079863001215396,-0.761633299597803,-0.12682349973813173
3,7,genre,assez,-0.8720128601991152,surtout,beaucoup,0.7929778099060059,0.4828122679422077,-0.7075727292500782,-0.11238023065393524
