num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,similarity_to_cue,adequacy_to_cue,originality_to_cue,likeability_to_cue,goal_value
1,0,lutte,lutte,lutte,0.0,lutte_0,lutter,0.8782395720481873,1.0,0.17489812726476534,0.8521546145645813,1.0,1.0,0.0,0.0,1.0043491817328998
1,0,lutte,lutte,lutte,0.0,lutte_0,combattre,0.7747962474822998,0.9623804442150731,0.13651543591251805,0.8147734877882349,1.0,1.0,0.0,0.0,1.0043491817328998
1,0,lutte,lutte,lutte,0.0,lutte_0,mobilisation,0.7702620625495911,1.0,0.09646331902952326,0.84210520484108,1.0,1.0,0.0,0.0,1.0043491817328998
1,0,lutte,lutte,lutte,0.0,lutte_0,répression,0.751122236251831,0.8641158619506618,0.14183990227942803,0.722397358999066,1.0,1.0,0.0,0.0,1.0043491817328998
1,0,lutte,lutte,lutte,0.0,lutte_0,action,0.7490041255950928,1.0,0.26820347067126726,0.8665194928121572,1.0,1.0,0.0,0.0,1.0043491817328998
1,0,lutte,lutte,lutte,0.0,lutte_0,exclusion,0.7450246810913086,0.9141551519834454,0.15176232890170996,0.7684582480563226,1.0,1.0,0.0,0.0,1.0043491817328998
1,1,lutte,action,action,0.46554257776981434,action_1,mobilisation,0.593843400478363,0.8163760677738063,0.25894413074461964,0.7127741569474386,0.49800965189933777,0.8398009557282513,0.3138444792817051,0.7428652099715907,1.0043491817328998
1,1,lutte,action,action,0.46554257776981434,action_1,lutter,0.5827780365943909,0.8759584579862765,0.28805427016487617,0.7637802925525058,0.49800965189933777,0.8398009557282513,0.3138444792817051,0.7428652099715907,1.0043491817328998
1,1,lutte,action,action,0.46554257776981434,action_1,mobiliser,0.5821611881256104,0.865881669871602,0.2794515002824989,0.751008206305537,0.49800965189933777,0.8398009557282513,0.3138444792817051,0.7428652099715907,1.0043491817328998
1,1,lutte,action,action,0.46554257776981434,action_1,prévention,0.5734272599220276,0.9038177911854605,0.3060865463470216,0.7948978942788891,0.49800965189933777,0.8398009557282513,0.3138444792817051,0.7428652099715907,1.0043491817328998
1,1,lutte,action,action,0.46554257776981434,action_1,renforcement,0.5728542804718018,0.908749458482093,0.19845695121275284,0.779410718350601,0.49800965189933777,0.8398009557282513,0.3138444792817051,0.7428652099715907,1.0043491817328998
1,1,lutte,action,action,0.46554257776981434,action_1,solidarité,0.5603505373001099,0.9352988232864098,0.28756403017869603,0.8176275422700252,0.49800965189933777,0.8398009557282513,0.3138444792817051,0.7428652099715907,1.0043491817328998
1,2,lutte,solidarité,solidarité,-0.0811378320959043,solidarité_2,mobilisation,0.4518907368183136,0.830055454944769,0.38360805242238555,0.7439591312601694,0.4814290404319763,0.9731352183281367,0.31312482022451066,0.8534392097519857,0.9001820146964734
1,2,lutte,solidarité,solidarité,-0.0811378320959043,solidarité_2,social,0.44636425375938416,0.7994512666310505,0.3125004765081493,0.7087136567747693,0.4814290404319763,0.9731352183281367,0.31312482022451066,0.8534392097519857,0.9001820146964734
1,2,lutte,solidarité,solidarité,-0.0811378320959043,solidarité_2,mobiliser,0.4298389256000519,0.8345694446644446,0.46426205593335396,0.7655340080006512,0.4814290404319763,0.9731352183281367,0.31312482022451066,0.8534392097519857,0.9001820146964734
1,2,lutte,solidarité,solidarité,-0.0811378320959043,solidarité_2,lutter,0.4033414423465729,0.8182504614434246,0.34753178010432045,0.7267986368908648,0.4814290404319763,0.9731352183281367,0.31312482022451066,0.8534392097519857,0.9001820146964734
1,2,lutte,solidarité,solidarité,-0.0811378320959043,solidarité_2,solidaire,0.40140458941459656,0.7919903172519618,0.3099613915962308,0.6992972378317142,0.4814290404319763,0.9731352183281367,0.31312482022451066,0.8534392097519857,0.9001820146964734
1,2,lutte,solidarité,solidarité,-0.0811378320959043,solidarité_2,renforcement,0.4013068377971649,0.8059771178016246,0.41903362204418404,0.7325386264925152,0.4814290404319763,0.9731352183281367,0.31312482022451066,0.8534392097519857,0.9001820146964734
1,3,lutte,mobiliser,mobiliser,-0.6147998337698598,mobiliser_3,mobilisation,0.3997499942779541,0.9267659767020204,0.3491850292432715,0.8189934025243341,0.45655709505081177,0.8205573224820084,0.4433367769312551,0.7488305745197639,0.8068186586112074
1,3,lutte,mobiliser,mobiliser,-0.6147998337698598,mobiliser_3,social,0.31054818630218506,0.881895055572108,0.4117528729485857,0.7944124494958786,0.45655709505081177,0.8205573224820084,0.4433367769312551,0.7488305745197639,0.8068186586112074
1,3,lutte,mobiliser,mobiliser,-0.6147998337698598,mobiliser_3,initiative,0.31027257442474365,0.8848318304199929,0.526979897526519,0.8172207550534265,0.45655709505081177,0.8205573224820084,0.4433367769312551,0.7488305745197639,0.8068186586112074
1,3,lutte,mobiliser,mobiliser,-0.6147998337698598,mobiliser_3,soutenir,0.2914627194404602,0.7922636795394739,0.5456690272253866,0.74555281133189,0.45655709505081177,0.8205573224820084,0.4433367769312551,0.7488305745197639,0.8068186586112074
1,3,lutte,mobiliser,mobiliser,-0.6147998337698598,mobiliser_3,solidaire,0.2911502718925476,0.8701834458984377,0.43493294424301004,0.7864613413826631,0.45655709505081177,0.8205573224820084,0.4433367769312551,0.7488305745197639,0.8068186586112074
1,3,lutte,mobiliser,mobiliser,-0.6147998337698598,mobiliser_3,lutter,0.2877645790576935,0.8893045712594714,0.49479983038098724,0.8138723362955215,0.45655709505081177,0.8205573224820084,0.4433367769312551,0.7488305745197639,0.8068186586112074
