num_path,num_step,cue,best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability
1,1,début,début,0.0,début,achever,0.519856870174408,0.04103915295492015,-0.10909986625445656,-0.0340303566497682
1,1,début,début,0.0,début,déjà,0.5094360113143921,0.04021649724867865,-0.1061798451842014,-0.032981673967761374
1,1,début,début,0.0,début,période,0.537514865398407,0.042433131198646785,-0.11411626330268818,-0.0358415660520207
1,1,début,début,0.0,début,fin,0.6911617517471313,0.05456250455442657,-0.1613996482766687,-0.05341857186112106
1,2,début,début,-0.1665963347935523,déjà,commencer,0.7091102004051208,0.5926679425024319,-0.18779216516766742,0.20243788866738227
1,2,début,début,-0.1665963347935523,déjà,encore,0.673561692237854,0.5629568183605308,-0.1746677701935917,0.19414452408346955
1,2,début,début,-0.1665963347935523,déjà,dernier,0.6884775757789612,0.5754233799808027,-0.18012697977738057,0.19764820010171108
1,2,début,début,-0.1665963347935523,déjà,quelque,0.6193075180053711,0.5176116663712295,-0.1553922498548946,0.1811097082581674
1,3,début,commencer,-0.2781087570600758,commencer,qui,0.6396744847297668,0.1380040450718955,-0.1908018426650509,-0.026398898796577697
1,3,début,commencer,-0.2781087570600758,commencer,être,0.6569095849990845,0.1417223637029573,-0.1980023328113123,-0.028139984554177502
1,3,début,commencer,-0.2781087570600758,commencer,après,0.6728256940841675,0.14515612179083057,-0.20474775879613144,-0.029795818502650437
1,3,début,commencer,-0.2781087570600758,commencer,qui,0.6396744847297668,0.1380040450718955,-0.1908018426650509,-0.026398898796577697
1,4,début,commencer,-0.42778853681939133,qui,même,0.7033573389053345,0.5334069214309181,-0.8641166982363699,-0.16535488840272594
1,4,début,commencer,-0.42778853681939133,qui,enfin,0.7098870277404785,0.5383588584148653,-0.8754820896042245,-0.16856161559467958
1,4,début,commencer,-0.42778853681939133,qui,ce,0.7599933743476868,0.5763581378842428,-0.9647425804370745,-0.19419222127641583
1,4,début,commencer,-0.42778853681939133,qui,maintenant,0.7201187610626221,0.5461183244364479,-0.8934148492929718,-0.17364826242826192
1,5,début,commencer,-0.5980395144999365,même,aussi,0.7344669699668884,0.04899349129255871,-0.30196013267097277,-0.12648332068920703
1,5,début,commencer,-0.5980395144999365,même,maintenant,0.7320466041564941,0.048832037917382824,-0.30054506951498317,-0.12585651579880017
1,5,début,commencer,-0.5980395144999365,même,il,0.754874050617218,0.050354769837451664,-0.31400152150130184,-0.13182337583192508
1,5,début,commencer,-0.5980395144999365,même,encore,0.7790122032165527,0.05196493396674842,-0.32849933297523637,-0.138267199504244
1,6,début,commencer,-0.7535318176596966,maintenant,ce,0.794376790523529,0.4123016608448751,-0.23934989027313402,0.08647588528587052
1,6,début,commencer,-0.7535318176596966,maintenant,toujours,0.7366774082183838,0.38235422099274086,-0.2148273389787415,0.08376344100699967
1,6,début,commencer,-0.7535318176596966,maintenant,ce,0.794376790523529,0.4123016608448751,-0.23934989027313402,0.08647588528587052
1,6,début,commencer,-0.7535318176596966,maintenant,pas,0.7566856145858765,0.39273898652750366,-0.22320430425698445,0.0847673411352596
1,7,début,commencer,-0.8600415906025225,ce,toujours,0.7465711236000061,0.141614567448278,-0.16156753170063776,-0.00997648212617988
1,7,début,commencer,-0.8600415906025225,ce,toujours,0.7465711236000061,0.141614567448278,-0.16156753170063776,-0.00997648212617988
1,7,début,commencer,-0.8600415906025225,ce,mais,0.790184736251831,0.1498874870607623,-0.17527626606189484,-0.01269438950056627
1,7,début,commencer,-0.8600415906025225,ce,avoir,0.7828631401062012,0.148498678093447,-0.1729420004957114,-0.012221661201132203
1,8,début,commencer,-0.9796515895277584,toujours,,,,,
2,1,début,début,0.0,début,quelque,0.48121878504753113,0.3447147669426244,-0.6060366272127609,-0.13066093013506824
2,1,début,début,0.0,début,commencer,0.6129851341247559,0.4391038633877052,-0.8406542175037754,-0.20077517705803513
2,1,début,début,0.0,début,débuter,0.5939407348632812,0.4254616576863357,-0.8049193552634915,-0.18972884878857788
2,1,début,début,0.0,début,fin,0.6911617517471313,0.49510465837204487,-0.9938067302808458,-0.24935103595440045
2,2,début,début,-0.18613218602701367,quelque,commencer,0.7049598693847656,0.3848156523780761,-0.14253981355092607,0.121137919413575
2,2,début,début,-0.18613218602701367,quelque,dès,0.6130104064941406,0.3346233023100508,-0.11726344439950726,0.10867992895527176
2,2,début,début,-0.18613218602701367,quelque,déjà,0.6415727734565735,0.35021460949424965,-0.12490036169501224,0.11265712389961871
2,2,début,début,-0.18613218602701367,quelque,commencer,0.7049598693847656,0.3848156523780761,-0.14253981355092607,0.121137919413575
2,3,début,commencer,-0.3139046021442987,commencer,avoir,0.6342850923538208,0.0733929972711384,-0.19282280893804865,-0.05971490583345512
2,3,début,commencer,-0.3139046021442987,commencer,fin,0.698509931564331,0.0808244401755018,-0.22069208500495613,-0.06993382241472716
2,3,début,commencer,-0.3139046021442987,commencer,premier,0.6156294941902161,0.07123436185369252,-0.1850151417693155,-0.05689038995781149
2,3,début,commencer,-0.3139046021442987,commencer,durant,0.6168462038040161,0.07137514707226672,-0.18552040740440587,-0.057072630166069574
2,4,début,commencer,-0.469682680135861,premier,ce,0.675304114818573,0.5212553193428119,-0.730614193798175,-0.10467943722768158
2,4,début,commencer,-0.469682680135861,premier,un,0.6642635464668274,0.5127332996251304,-0.7139331933368986,-0.10059994685588414
2,4,début,commencer,-0.469682680135861,premier,être,0.6636708974838257,0.5122758443422232,-0.7130422227984918,-0.10038318922813433
2,4,début,commencer,-0.469682680135861,premier,encore,0.6654701232910156,0.5136646349657611,-0.715748526365148,-0.10104194569969344
2,5,début,commencer,-0.6269393179814879,être,dès,0.6736024022102356,0.21465320778708263,-0.9824925551729289,-0.3839196736929231
2,5,début,commencer,-0.6269393179814879,être,déjà,0.7441962361335754,0.2371489602545806,-1.131243676389267,-0.4470473580673432
2,5,début,commencer,-0.6269393179814879,être,qui,0.7315807342529297,0.23312884699839387,-1.1040235961013214,-0.43544737455146376
2,5,début,commencer,-0.6269393179814879,être,avoir,0.7206255793571472,0.22963782747045264,-1.0806110374100708,-0.42548660496980906
2,6,début,commencer,-0.8340442527200725,dès,passer,0.6724393367767334,0.40100029394474446,-0.23145761699624168,0.08477133847425139
2,6,début,commencer,-0.8340442527200725,dès,encore,0.6944307088851929,0.41411455748859255,-0.2421702131487097,0.08597217216994142
2,6,début,commencer,-0.8340442527200725,dès,passer,0.6724393367767334,0.40100029394474446,-0.23145761699624168,0.08477133847425139
2,6,début,commencer,-0.8340442527200725,dès,qui,0.7128313183784485,0.4250875172962783,-0.251286617217953,0.08690045003916266
2,7,début,commencer,-0.94046911271224,qui,avoir,0.7282289862632751,0.1464600624814391,-0.19379585947997055,-0.02366789849926572
2,7,début,commencer,-0.94046911271224,qui,le,0.7715543508529663,0.1551735794170905,-0.21047293296439706,-0.02764967677365328
2,7,début,commencer,-0.94046911271224,qui,fin,0.7083091139793396,0.14245381472920704,-0.18632217078582397,-0.021934178028308465
2,7,début,commencer,-0.94046911271224,qui,se,0.7341248989105225,0.14764583749313134,-0.19603137020151862,-0.024192766354193637
2,8,début,commencer,-1.0624706508179016,fin,,,,,
3,1,début,début,0.0,début,débuter,0.5939407348632812,0.33920136288775304,-0.3327945357636931,0.0032034135620299664
3,1,début,début,0.0,début,mois,0.5059798955917358,0.28896665964160034,-0.2678633775000371,0.010551641070781631
3,1,début,début,0.0,début,mois,0.5059798955917358,0.28896665964160034,-0.2678633775000371,0.010551641070781631
3,1,début,début,0.0,début,fin,0.6911617517471313,0.3947245817757895,-0.4108901684124391,-0.008082793318324788
3,2,début,mois,-0.15788967178584368,mois,dès,0.6325203776359558,0.5523829381070458,-0.9427221937486254,-0.19516962782078984
3,2,début,mois,-0.15788967178584368,mois,commencer,0.5991334915161133,0.5232260177908147,-0.8746995744703276,-0.17573677833975648
3,2,début,mois,-0.15788967178584368,mois,le,0.5204187035560608,0.454484033527231,-0.7223816390159825,-0.13394880274437576
3,2,début,mois,-0.15788967178584368,mois,débuter,0.612174391746521,0.5346146955939818,-0.9010269389210026,-0.1832061216635104
3,3,début,mois,-0.33667943233471886,le,dès,0.6804463267326355,0.6171734629375345,-0.0009172738271825222,0.308128094555176
3,3,début,mois,-0.33667943233471886,le,par,0.6527420878410339,0.5920453663000214,-0.0008654205132934467,0.295589972893364
3,3,début,mois,-0.33667943233471886,le,année,0.6658896207809448,0.6039703457066607,-0.000889874885638835,0.30154023541051095
3,3,début,mois,-0.33667943233471886,le,dernier,0.7087692022323608,0.6428626708379579,-0.0009715579912353389,0.32094555642336126
3,4,début,dernier,-0.41689032105004664,dernier,déjà,0.6553647518157959,0.1929599298356016,-0.08744671209864197,0.05275660886847981
3,4,début,dernier,-0.41689032105004664,dernier,après,0.752017080783844,0.22141740571365132,-0.10620201162656845,0.057607697043541434
3,4,début,dernier,-0.41689032105004664,dernier,trois,0.668569028377533,0.1968476828339484,-0.08992017307528763,0.05346375487933039
3,4,début,dernier,-0.41689032105004664,dernier,après,0.752017080783844,0.22141740571365132,-0.10620201162656845,0.057607697043541434
3,5,début,dernier,-0.5425487816413384,après,pour,0.6768835783004761,0.6665039201313359,-0.46721627923964854,0.09964382044584366
3,5,début,dernier,-0.5425487816413384,après,depuis,0.6542567014694214,0.6442240147063999,-0.4455045658033719,0.099359724451514
3,5,début,dernier,-0.5425487816413384,après,ce,0.6805429458618164,0.6701071731914243,-0.47076723512067076,0.09966996903537678
3,5,début,dernier,-0.5425487816413384,après,durant,0.6865410208702087,0.6760132708343496,-0.47661145615666856,0.09970090733884052
3,6,début,dernier,-0.6529296001735703,durant,être,0.6804609298706055,0.0588339801688321,-0.10069117628151403,-0.020928598056340963
3,6,début,dernier,-0.6529296001735703,durant,débuter,0.6378873586654663,0.05515298610430026,-0.0919999999110293,-0.018423506903364525
3,6,début,dernier,-0.6529296001735703,durant,de,0.6757638454437256,0.058427861081179366,-0.09971662457808915,-0.02064438174845489
3,6,début,dernier,-0.6529296001735703,durant,débuter,0.6378873586654663,0.05515298610430026,-0.0919999999110293,-0.018423506903364525
3,7,début,dernier,-0.7804192515542432,débuter,fin,0.7347722053527832,0.5656549579676234,-0.426589763507354,0.06953259723013472
