num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
1,0,flamme,flamme,flamme,0.0,flamme_0,souffle,0.34367358684539795,0.8447830026809173,0.3840399640766449,0.6755954307344411,0.0,1.0
1,0,flamme,flamme,flamme,0.0,flamme_0,instant,0.32526615262031555,0.9271246639835987,0.3957458060356608,0.7313157748984143,0.0,1.0
1,0,flamme,flamme,flamme,0.0,flamme_0,ciel,0.3897259831428528,0.8013634323815441,0.41064553688233585,0.6588619587525198,0.0,1.0
1,0,flamme,flamme,flamme,0.0,flamme_0,sang,0.26651284098625183,0.887376669940086,0.4550973182564159,0.7297245275916974,0.0,1.0
1,0,flamme,flamme,flamme,0.0,flamme_0,vif,0.2907317280769348,0.7690757376452912,0.4692866506074864,0.6608536183195652,0.0,1.0
1,1,flamme,instant,instant,0.43282894372460357,instant_1,approcher,0.495531290769577,0.9745530219922298,0.4295214156897186,0.7740683419913109,0.6535821034644282,1.0
1,1,flamme,instant,instant,0.43282894372460357,instant_1,regarder,0.4246910810470581,0.9869565766941839,0.4739649333660851,0.79916418311795,0.6535821034644282,1.0
1,1,flamme,instant,instant,0.43282894372460357,instant_1,perdre,0.3994940221309662,0.9367310946894694,0.4753745260932953,0.7683724506640903,0.6535821034644282,1.0
1,1,flamme,instant,instant,0.43282894372460357,instant_1,feu,0.5033491253852844,0.8263349576176523,0.31924212574217636,0.6384598780517422,0.6535821034644282,1.0
1,1,flamme,instant,instant,0.43282894372460357,instant_1,âme,0.5126545429229736,0.837267886051879,0.4219972046579812,0.6856672925519887,0.6535821034644282,1.0
1,2,flamme,regarder,regarder,0.882619989504091,regarder_2,imaginer,0.485360324382782,0.9935322673461492,0.37343692985555366,0.7634531586445923,0.7357324362715096,0.95
1,2,flamme,regarder,regarder,0.882619989504091,regarder_2,penser,0.4853209853172302,0.8795283030058109,0.29046378474801393,0.6594809313996953,0.7357324362715096,0.95
1,2,flamme,regarder,regarder,0.882619989504091,regarder_2,dire,0.4907701313495636,0.8210760695786795,0.2857518521063193,0.6216441450734801,0.7357324362715096,0.95
1,2,flamme,regarder,regarder,0.882619989504091,regarder_2,moment,0.49640288949012756,0.8826402330965165,0.36793130766704235,0.6927271219135851,0.7357324362715096,0.95
1,2,flamme,regarder,regarder,0.882619989504091,regarder_2,dire,0.4907701313495636,0.8730760695786794,0.25075185210631934,0.6389700877684149,0.7357324362715096,0.95
1,3,flamme,imaginer,imaginer,0.3359832791652392,imaginer_3,exactement,0.5850582122802734,0.9762442863666068,0.318586737772153,0.7304239952335664,0.720961330620624,0.9025
1,3,flamme,imaginer,imaginer,0.3359832791652392,imaginer_3,dire,0.6225594878196716,0.915465082773569,0.2176070802388759,0.6505703232565904,0.720961330620624,0.9025
1,3,flamme,imaginer,imaginer,0.3359832791652392,imaginer_3,exactement,0.5850582122802734,1.0,0.255586737772153,0.7183889138904086,0.720961330620624,0.9025
1,3,flamme,imaginer,imaginer,0.3359832791652392,imaginer_3,croire,0.6179041266441345,0.8167572491818047,0.31357054506955845,0.630266780723845,0.720961330620624,0.9025
1,3,flamme,imaginer,imaginer,0.3359832791652392,imaginer_3,arriver,0.5806462168693542,0.8286940311151523,0.35042750275859696,0.6523656657546055,0.720961330620624,0.9025
