num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
1,0,vin,vin,vin,0.0,vin_0,verre,0.31676220893859863,0.9142933310406708,0.3796557350902069,0.7169853962173532,0.0,1.0
1,0,vin,vin,vin,0.0,vin_0,viande,0.2631887197494507,0.8503825387147547,0.44500764864100945,0.7027145260225511,0.0,1.0
1,0,vin,vin,vin,0.0,vin_0,repas,0.2497313916683197,0.8861626373335554,0.46492761380015185,0.7327400617389764,0.0,1.0
1,0,vin,vin,vin,0.0,vin_0,champagne,0.2354074865579605,0.8723120570064962,0.4978642009696456,0.7366002774569406,0.0,1.0
1,0,vin,vin,vin,0.0,vin_0,champagne,0.2354074865579605,0.8893120570064962,0.5708642009696456,0.774704323935973,0.0,1.0
1,1,vin,champagne,champagne,0.44367608098399325,champagne_1,amener,0.2520129382610321,0.9539005679939557,0.47689096480134646,0.7796801322724457,0.7860301580721477,1.0
1,1,vin,champagne,champagne,0.44367608098399325,champagne_1,alcool,0.31561335921287537,0.9680387076312648,0.5595950193106753,0.82011738673177,0.7860301580721477,1.0
1,1,vin,champagne,champagne,0.44367608098399325,champagne_1,exception,0.2683696150779724,0.8559238648503322,0.4754774589010941,0.7178183834393542,0.7860301580721477,1.0
1,1,vin,champagne,champagne,0.44367608098399325,champagne_1,bouteille,0.48402270674705505,0.8623973763715592,0.4133505307136381,0.6979954766398329,0.7860301580721477,1.0
1,1,vin,champagne,champagne,0.44367608098399325,champagne_1,bouteille,0.48402270674705505,0.9313973763715593,0.31935053071363806,0.703206342538921,0.7860301580721477,1.0
1,2,vin,alcool,alcool,0.8987054276669357,alcool_2,servir,0.29152968525886536,0.8402808566604592,0.41161247709292753,0.6835338622892518,0.7293097450712602,0.95
1,2,vin,alcool,alcool,0.8987054276669357,alcool_2,sec,0.26605406403541565,0.953240576330627,0.6134981945450618,0.8309883384899107,0.7293097450712602,0.95
1,2,vin,alcool,alcool,0.8987054276669357,alcool_2,amener,0.26233184337615967,0.9041232326009456,0.45076002377961505,0.7385131180988056,0.7293097450712602,0.95
1,2,vin,alcool,alcool,0.8987054276669357,alcool_2,servir,0.29152968525886536,0.8322808566604591,0.5346124770929276,0.725155885267637,0.7293097450712602,0.95
1,2,vin,alcool,alcool,0.8987054276669357,alcool_2,consommation,0.28695985674858093,0.9110931115060721,0.4334831532575151,0.7361608445230988,0.7293097450712602,0.95
1,3,vin,sec,sec,1.3689525122894133,sec_3,liquide,0.32828307151794434,0.9467522677588693,0.5593122856876009,0.8066183995793434,0.7063240120089567,0.9025
1,3,vin,sec,sec,1.3689525122894133,sec_3,fruit,0.3724287152290344,0.9167514911770429,0.388717300539039,0.7221036928656356,0.7063240120089567,0.9025
1,3,vin,sec,sec,1.3689525122894133,sec_3,léger,0.34686657786369324,0.8523775117748317,0.5375229986906085,0.7389414098232197,0.7063240120089567,0.9025
