num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,similarity_to_cue,adequacy_to_cue,originality_to_cue,likeability_to_cue,goal_value
1,0,machine,machine,machine,0.0,machine_0,appareil,0.4379591941833496,0.9085093607593867,0.3484592087640622,0.7141694459227615,1.0,1.0,0.0,0.0,0.9850505059137507
1,0,machine,machine,machine,0.0,machine_0,utiliser,0.4029232859611511,0.9281945204519065,0.352840174138455,0.7331418326587701,1.0,1.0,0.0,0.0,0.9850505059137507
1,0,machine,machine,machine,0.0,machine_0,composant,0.41196590662002563,0.9583778734248356,0.47420164561294414,0.7973591339717033,1.0,1.0,0.0,0.0,0.9850505059137507
1,1,machine,composant,composant,0.45307715701448814,composant_1,utiliser,0.5291044116020203,0.8959400252162802,0.2280539621722786,0.661232862340377,0.411965936422348,0.8563778772365525,0.4962016238381145,0.7353067337347076,0.9850505059137507
1,1,machine,composant,composant,0.45307715701448814,composant_1,interface,0.4939362108707428,0.8353933535318001,0.33560236152826395,0.6637179733348267,0.411965936422348,0.8563778772365525,0.4962016238381145,0.7353067337347076,0.9850505059137507
1,1,machine,composant,composant,0.45307715701448814,composant_1,système,0.5482940077781677,0.98996456476336,0.2794283042192465,0.744226180232512,0.411965936422348,0.8563778772365525,0.4962016238381145,0.7353067337347076,0.9850505059137507
1,2,machine,système,système,-0.10712892440582156,système_2,conception,0.5207464098930359,0.9080853564317608,0.3445993119353728,0.7097919185306487,0.37372881174087524,0.7889568972057306,0.4997258153078175,0.6927332642545646,0.9146675342584308
1,2,machine,système,système,-0.10712892440582156,système_2,configuration,0.53692626953125,0.9247530479035012,0.2228904800157898,0.6738840094207973,0.37372881174087524,0.7889568972057306,0.4997258153078175,0.6927332642545646,0.9146675342584308
1,2,machine,système,système,-0.10712892440582156,système_2,mécanique,0.5186328291893005,0.9478710457056498,0.394006401383655,0.7530309203831846,0.37372881174087524,0.7889568972057306,0.4997258153078175,0.6927332642545646,0.9146675342584308
1,3,machine,mécanique,mécanique,0.35246192212536687,mécanique_3,fabrication,0.5324660539627075,0.8942876702012399,0.30483181440474594,0.6898505328500983,0.4460810124874115,0.9934199936102153,0.36570050905731205,0.7721256369481255,0.8493135054535473
1,3,machine,mécanique,mécanique,0.35246192212536687,mécanique_3,électrique,0.5485673546791077,0.896994207576535,0.32724945253147375,0.7037666548165584,0.4460810124874115,0.9934199936102153,0.36570050905731205,0.7721256369481255,0.8493135054535473
1,3,machine,mécanique,mécanique,0.35246192212536687,mécanique_3,procédé,0.5421274900436401,0.8413024666771849,0.3974702432112118,0.6875594731229536,0.4460810124874115,0.9934199936102153,0.36570050905731205,0.7721256369481255,0.8493135054535473
1,4,machine,électrique,électrique,-0.18392479053388033,électrique_4,appareil,0.5225548148155212,0.8772692503751288,0.40939694287837347,0.7175580315281475,0.37095168232917786,0.9065162457528988,0.38184553253456355,0.7305323594462338,0.7886290958502378
1,4,machine,électrique,électrique,-0.18392479053388033,électrique_4,automatique,0.5100257992744446,0.8370037892391655,0.393757210772639,0.685218634350277,0.37095168232917786,0.9065162457528988,0.38184553253456355,0.7305323594462338,0.7886290958502378
1,4,machine,électrique,électrique,-0.18392479053388033,électrique_4,thermique,0.5493612885475159,0.92608045357042,0.26473012913399935,0.6877639441131325,0.37095168232917786,0.9065162457528988,0.38184553253456355,0.7305323594462338,0.7886290958502378
1,5,machine,appareil,appareil,0.2983074433855971,appareil_5,procédé,0.5241270661354065,0.8904295602953383,0.28435273682126055,0.670419051541272,0.4379591941833496,0.9195093607593867,0.4744592087640622,0.7713070161790441,0.7322806558803509
1,5,machine,appareil,appareil,0.2983074433855971,appareil_5,équipement,0.5247452855110168,0.835492711262823,0.2549424384389352,0.6352665620208233,0.4379591941833496,0.9195093607593867,0.4744592087640622,0.7713070161790441,0.7322806558803509
1,5,machine,appareil,appareil,0.2983074433855971,appareil_5,matériel,0.5394470691680908,0.8790183658578392,0.3002315549025975,0.6733646340279655,0.4379591941833496,0.9195093607593867,0.4744592087640622,0.7713070161790441,0.7322806558803509
1,6,machine,matériel,matériel,-0.21642156207749919,matériel_6,équiper,0.5335496664047241,0.9864002820453512,0.3791164887870787,0.7777567082408859,0.37620848417282104,0.8183444205745987,0.44383886963216157,0.6924554216839539,0.6799583756143698
1,6,machine,matériel,matériel,-0.21642156207749919,matériel_6,composant,0.6384952068328857,0.9520372796473159,0.34548273306504507,0.7393993720008142,0.37620848417282104,0.8183444205745987,0.44383886963216157,0.6924554216839539,0.6799583756143698
1,6,machine,matériel,matériel,-0.21642156207749919,matériel_6,machine,0.5649891495704651,0.9848282999495609,0.2715509776835281,0.7300995938777302,0.37620848417282104,0.8183444205745987,0.44383886963216157,0.6924554216839539,0.6799583756143698
1,7,machine,équiper,équiper,0.30802802107912985,équiper,,,,,,0.3387349843978882,0.90784079042033,0.5209524485204874,0.7759399613941935,0.6313745813922959
