num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
1,0,acte,acte,acte,0.0,acte_0,notarié,0.7593561410903931,0.9728705123073206,0.21552813249502573,0.5951207089103607,0.0,0.9926129274242469
1,0,acte,acte,acte,0.0,acte_0,civil,0.735914945602417,1.0,0.09260635233199097,0.5367576369759903,0.0,0.9926129274242469
1,0,acte,acte,acte,0.0,acte_0,constitutif,0.7276920080184937,0.9019344626685074,0.12486661477194932,0.5094675566097248,0.0,0.9926129274242469
1,0,acte,acte,acte,0.0,acte_0,accomplissement,0.7244906425476074,1.0,0.16391110776314824,0.5684294726516331,0.0,0.9926129274242469
1,0,acte,acte,acte,0.0,acte_0,consentement,0.7240486145019531,0.9479009535686546,0.2611932589102182,0.620753295656052,0.0,0.9926129274242469
1,0,acte,acte,acte,0.0,acte_0,jugement,0.7224493026733398,1.0,0.16721383734200593,0.5680845257821925,0.0,0.9926129274242469
1,0,acte,acte,acte,0.0,acte_0,filiation,0.7213642597198486,0.9791532117066009,0.2449059978366746,0.6095911072592425,0.0,0.9926129274242469
1,1,acte,consentement,consentement,0.4070350920579513,consentement_1,stipuler,0.5092955827713013,0.8279305221308173,0.26824668198843327,0.560583082088042,0.7020248750031992,0.9926129274242469
1,1,acte,consentement,consentement,0.4070350920579513,consentement_1,nullité,0.5024502277374268,0.8482450404260142,0.30884758982611504,0.5904640529737699,0.7020248750031992,0.9926129274242469
1,1,acte,consentement,consentement,0.4070350920579513,consentement_1,intéressé,0.5003108978271484,0.9840310898187755,0.3332901681160142,0.6731390199322718,0.7020248750031992,0.9926129274242469
1,1,acte,consentement,consentement,0.4070350920579513,consentement_1,obligation,0.4975602626800537,0.810756008841494,0.3651483180315578,0.5989473673194015,0.7020248750031992,0.9926129274242469
1,1,acte,consentement,consentement,0.4070350920579513,consentement_1,préalable,0.49587953090667725,0.8015878691405656,0.3192855961835893,0.571451346001872,0.7020248750031992,0.9926129274242469
1,1,acte,consentement,consentement,0.4070350920579513,consentement_1,notarié,0.4957098364830017,0.9965708888931591,0.3644005012310333,0.6925380274758921,0.7020248750031992,0.9926129274242469
1,1,acte,consentement,consentement,0.4070350920579513,consentement_1,filiation,0.49443838000297546,0.800443631564418,0.25826191241718927,0.5428619044881681,0.7020248750031992,0.9926129274242469
1,2,acte,notarié,notarié,0.8320163670708626,notarié_2,seing,0.37786802649497986,0.9126007059400553,0.3945790104828808,0.6649136614448188,0.6455023064458745,0.9503924255849701
1,2,acte,notarié,notarié,0.8320163670708626,notarié_2,nullité,0.3342079520225525,0.8199522433437663,0.37455994645228646,0.6148653826312674,0.6455023064458745,0.9503924255849701
1,2,acte,notarié,notarié,0.8320163670708626,notarié_2,stipuler,0.333895742893219,0.8118900701205183,0.5338094896746609,0.6868158663319259,0.6455023064458745,0.9503924255849701
1,2,acte,notarié,notarié,0.8320163670708626,notarié_2,notaire,0.33272483944892883,0.8306558565716476,0.5447462396118385,0.7013791533027249,0.6455023064458745,0.9503924255849701
