num_path,num_step,cue,best_word,temporary_best_word,q-value,current_word,neighbours,similarity,adequacy,originality,likeability,likeability_to_cue,goal_value
1,0,passion,passion,passion,0.0,passion_0,assouvir,0.7395670413970947,0.9624558877059428,0.17626567906863644,0.6280039458621517,0.0,1.0
1,0,passion,passion,passion,0.0,passion_0,aimer,0.7430641055107117,1.0,0.10702163557969675,0.6089050433110802,0.0,1.0
1,0,passion,passion,passion,0.0,passion_0,adonner,0.7288013696670532,0.840253457339342,0.2611577086765203,0.6146227974574903,0.0,1.0
1,0,passion,passion,passion,0.0,passion_0,dévorant,0.7529994249343872,0.9527329423799905,0.14063048213750798,0.6176418508418912,0.0,1.0
1,0,passion,passion,passion,0.0,passion_0,partager,0.7286058664321899,0.8901970939027447,0.16928265600860573,0.5922348343705374,0.0,1.0
1,1,passion,assouvir,assouvir,0.40700098646553795,assouvir_1,envie,0.5242974758148193,0.8894469609046173,0.25423962343976686,0.6301221943054929,0.6378274157131077,1.0
1,1,passion,assouvir,assouvir,0.40700098646553795,assouvir_1,avide,0.5311591625213623,0.8101522189227637,0.4016951625375772,0.6562660858789805,0.6378274157131077,1.0
1,1,passion,assouvir,assouvir,0.40700098646553795,assouvir_1,passionnel,0.5025679469108582,0.8122568150118188,0.29276827595603294,0.6030434341586475,0.6378274157131077,1.0
1,1,passion,assouvir,assouvir,0.40700098646553795,assouvir_1,adonner,0.507123589515686,0.8607127927399385,0.29070408271365483,0.6325854463137157,0.6378274157131077,1.0
1,1,passion,assouvir,assouvir,0.40700098646553795,assouvir_1,passionnel,0.5025679469108582,0.9392568150118188,0.3207682759560329,0.7014500863872276,0.6378274157131077,1.0
1,2,passion,passionnel,passionnel,0.8323635080623448,passionnel_2,attirance,0.3704245686531067,0.8644318033530068,0.4122486365581296,0.6951801274071076,0.6990001311970313,0.95
1,2,passion,passionnel,passionnel,0.8323635080623448,passionnel_2,fantasme,0.35794296860694885,0.9213542096661194,0.44086691589676763,0.7341767669195659,0.6990001311970313,0.95
1,2,passion,passionnel,passionnel,0.8323635080623448,passionnel_2,amoureux,0.3808322548866272,0.9560524710497165,0.4903346135032724,0.7807826030805438,0.6990001311970313,0.95
1,2,passion,passionnel,passionnel,0.8323635080623448,passionnel_2,irrépressible,0.3601638674736023,0.9367351357078932,0.5331451133784147,0.7832880632778816,0.6990001311970313,0.95
1,2,passion,passionnel,passionnel,0.8323635080623448,passionnel_2,pulsion,0.36754173040390015,0.7909653659256692,0.47245763323793266,0.673401720232108,0.6990001311970313,0.95
1,3,passion,irrépressible,irrépressible,1.2906855238818151,irrépressible_3,avide,0.3736828565597534,0.9109496629053002,0.41376083648334033,0.7189708025183835,0.700148146427072,0.9025
1,3,passion,irrépressible,irrépressible,1.2906855238818151,irrépressible_3,désir,0.47448137402534485,0.8074281961191347,0.287896181468884,0.6006086498462639,0.700148146427072,0.9025
1,3,passion,irrépressible,irrépressible,1.2906855238818151,irrépressible_3,pulsion,0.44199705123901367,0.8899655350114106,0.47459064681011265,0.7309170397985357,0.700148146427072,0.9025
1,3,passion,irrépressible,irrépressible,1.2906855238818151,irrépressible_3,sentiment,0.3746727406978607,0.874105067497589,0.3390068832484059,0.6651959633145866,0.700148146427072,0.9025
1,3,passion,irrépressible,irrépressible,1.2906855238818151,irrépressible_3,sentiment,0.3746727406978607,0.811105067497589,0.48200688324840585,0.687088863657578,0.700148146427072,0.9025
1,4,passion,pulsion,pulsion,0.7477897838314491,pulsion_4,fusionnel,0.41290760040283203,0.9874980360241499,0.4035139429183755,0.7597172888025547,0.6896065158665547,0.8573749999999999
1,4,passion,pulsion,pulsion,0.7477897838314491,pulsion_4,névrose,0.40468236804008484,0.7934290323987746,0.4395437661490683,0.6621546071819847,0.6896065158665547,0.8573749999999999
1,4,passion,pulsion,pulsion,0.7477897838314491,pulsion_4,autodestructeur,0.4019806385040283,0.9530679639060344,0.43253589279362054,0.754047244689052,0.6896065158665547,0.8573749999999999
1,4,passion,pulsion,pulsion,0.7477897838314491,pulsion_4,mortifère,0.410220205783844,0.8471536260809044,0.3044782949988958,0.631698626619345,0.6896065158665547,0.8573749999999999
1,4,passion,pulsion,pulsion,0.7477897838314491,pulsion_4,narcissisme,0.40253129601478577,0.8151419690355978,0.408129395823276,0.6582111188399775,0.6896065158665547,0.8573749999999999
