,id_participant,cues,responses,likeability,originality,adequacy,frequencyCreaFlexFirst,frequencyCreaFlexDist,RT_answer,condition,unique_creaflexFirst,unique_creaflexDist,frequency_dictaverf,similarity
47,22,lèvre,bouche,,,,0.6875,0.0,0.0002104999985022,1,0,1,0.54373,0.58478147
48,22,passage,rue,63.0,15.0,90.0,0.0729166666666666,0.0104166666666666,0.0002268999996886,1,0,0,0.057143,0.22270352
49,22,principe,loi,,,,0.0520833333333333,0.0208333333333333,0.2156590999984473,1,0,0,0.044316,0.44957227
50,22,sens,direction,,,,0.25,0.0104166666666666,0.0002191999992646,1,0,0,0.22617,0.2347842
51,22,habitude,facile,61.0,93.0,67.0,0.0,0.0,0.0002353999989281,1,1,1,0.0,0.43185732
52,22,passion,amour,,,,0.3854166666666667,0.03125,0.0003075999993598,1,0,0,0.452827,0.5378622
53,22,désir,sexe,,,,0.125,0.0,0.0002660999998624,1,0,1,0.078029,0.21516642
54,22,larme,pleurs,93.0,14.0,100.0,0.1354166666666666,0.0,0.0002147999985027,1,0,1,0.11321,0.3436775
55,22,vache,lait,100.0,1.0,98.0,0.5416666666666666,0.0416666666666666,0.0002230999998573,1,0,0,0.44231,0.588999
56,22,début,fin,,,,0.875,0.0416666666666666,0.0002378999997745,1,0,0,0.759297,0.6911618
57,22,pierre,dur,,,,0.0416666666666666,0.0104166666666666,0.0002177999995183,1,0,0,0.032381,0.115421385
58,22,visage,beauté,,,,0.0208333333333333,0.0416666666666666,0.0002377000018896,1,0,0,0.022133,0.53909147
59,22,arbre,grand,75.0,42.0,91.0,0.0,0.0,0.0002440999996906,1,1,1,0.003914,0.18945408
60,22,position,loin,,,,0.0,0.0,0.0002180999981646,1,1,1,0.0,0.22804545
61,22,avis,opinion,75.0,17.0,83.0,0.28125,0.0625,0.0002171999985876,1,0,0,0.41006,0.269344
62,22,flamme,agréable,,,,0.0,0.0,1.5403317999989667,2,1,1,0.0,0.08583174
63,22,genre,chaussure,1.0,100.0,41.0,0.0,0.0,0.4445449999984703,2,1,1,0.0,0.14680842
64,22,lutte,épreuve,,,,0.0,0.0,1.1011899000004632,2,1,1,0.0,0.045099117
65,22,horizon,mer,,,,0.1354166666666666,0.0208333333333333,0.5473482000015792,2,0,0,0.112,0.18208979
66,22,cause,principe,73.0,71.0,79.0,0.0,0.0,1.1162532000016654,2,1,1,0.0,0.2323876
67,22,morceau,gâteau,77.0,14.0,87.0,0.0208333333333333,0.0520833333333333,1.148116399999708,2,0,0,0.062136,0.27377823
68,22,preuve,procès,89.0,33.0,97.0,0.03125,0.0104166666666666,1.1681213000010755,2,0,0,0.011905,0.25152025
69,22,lune,rêve,93.0,57.0,99.0,0.0,0.0,1.2371471999977075,2,1,1,0.001942,0.24772193
70,22,mer,horizon,48.0,89.0,84.0,0.0,0.0104166666666666,0.8926390999986324,2,1,0,0.004073,0.18208979
71,22,objet,main,,,,0.0104166666666666,0.0,1.2122990999996546,2,0,1,0.0,0.20047027
72,22,enfant,marelle,100.0,71.0,100.0,0.0,0.0,0.7118792000001122,2,1,1,0.0,0.26146436
73,22,toit,grimper,83.0,56.0,77.0,0.0,0.0,0.398560699999507,2,1,1,0.0,0.2970929
74,22,doigt,alliance,100.0,51.0,89.0,0.0208333333333333,0.0416666666666666,0.2483906000015849,2,0,0,0.003774,0.10023209
75,22,mur,enfermement,,,,0.0,0.0,0.7437447000011161,2,1,1,0.0,0.14016105
76,22,table,assis,54.0,52.0,86.0,0.0,0.0,0.2901944000004732,2,1,1,0.0,0.07542115
77,22,désir,feu,,,,0.0,0.0,0.6464887999973143,2,1,1,0.002053,0.13205484
78,22,école,marelle,100.0,45.0,100.0,0.0,0.0,0.4272225999993679,2,1,1,0.0,0.18950239
79,22,passage,étroit,100.0,48.0,100.0,0.0208333333333333,0.0208333333333333,0.4895365000011225,2,0,0,0.03619,0.3137012
80,22,façon,forme,,,,0.0,0.0104166666666666,0.1565206000013859,2,1,0,0.0,0.50508994
81,22,vache,viande,45.0,27.0,88.0,0.0,0.0,0.4606554999991203,2,1,1,0.003846,0.4611339
82,22,acte,théâtre,,,,0.28125,0.1354166666666666,0.3663092999995569,2,0,0,0.19275,0.12121316
83,22,lèvre,baiser,,,,0.0208333333333333,0.0208333333333333,0.703567299999122,2,0,0,0.093156,0.5574648
84,22,direction,indication,,,,0.0104166666666666,0.0208333333333333,0.2868039999993925,2,0,0,0.004008,0.13449849
85,22,habitude,commun,52.0,79.0,67.0,0.0,0.0,0.3049049000001105,2,1,1,0.001848,0.13093996
86,22,jeunesse,jeux,100.0,10.0,83.0,0.0,0.0,0.6466708999978437,2,1,1,0.0,0.10315673
87,22,herbe,courir,,,,0.0,0.0,0.2137328000026173,2,1,1,0.0,0.21801616
88,22,jardin,jeu,100.0,22.0,100.0,0.0,0.0208333333333333,0.0670704000003752,2,1,0,0.00404,0.10644262
89,22,rôle,position,56.0,91.0,31.0,0.0,0.0,0.2548821000018506,2,1,1,-1.0,0.20904897
90,22,colline,courir,78.0,77.0,91.0,0.0,0.0,0.0791926000019884,2,1,1,0.0,0.124983884
91,22,fil,couture,,,,0.0833333333333333,0.0104166666666666,0.426386300001468,2,0,0,0.092937,0.18593001
92,22,rayon,,,,,0.0,0.0,0.712844399997266,2,1,1,0.0,nan
93,22,page,histoire,,,,0.0,0.03125,1.033769100002246,2,1,0,0.002066,0.17228878
94,22,larme,tristesse,100.0,1.0,100.0,0.2291666666666666,0.0208333333333333,0.4427323999989312,2,0,0,0.13962,0.61100066
95,22,pierre,silex,,,,0.0,0.0208333333333333,0.145450100000744,2,1,0,0.001905,0.26655692
96,22,rose,délicat,100.0,79.0,100.0,0.0,0.0,0.162899599999946,2,1,1,0.0,0.27284265
97,22,soeur,mignonne,,,,0.0,0.0,0.085813000001508,2,1,1,0.0,0.27461788
98,22,nord,ours,74.0,65.0,100.0,0.0,0.03125,0.2271591999997326,2,1,0,0.001923,0.12971155
99,22,oncle,,100.0,69.0,82.0,0.0,0.0,0.1868435000033059,2,1,1,0.0,nan
100,22,sens,voyage,,,,0.0,0.0,0.413740100000723,2,1,1,0.0,0.106172584
101,22,peau,douceur,100.0,81.0,100.0,0.0208333333333333,0.0208333333333333,0.2857349000005342,2,0,0,0.013566,0.46676642
102,22,vin,bourré,100.0,25.0,85.0,0.0,0.0,1.0491991000017151,2,1,1,0.0,0.18312725
103,22,machine,fumée,,,,0.0,0.0,0.6441591000002518,2,1,1,0.0,0.1264371
