id_participant,cues,responses,likeability,originality,adequacy,frequencyCreaFlexFirst,frequencyCreaFlexDist,RT_answer,condition,unique_creaflexFirst,unique_creaflexDist,frequency_dictaverf
23,sens,direction,nan,nan,nan,0.25,0.010416666666666666,0.5332803999990574,1,0,0,0.22617
23,peau,grain,nan,nan,nan,0.010416666666666666,0.010416666666666666,3.0318499999993946,1,0,0,0.00969
23,lit,oreiller,25.0,1.0,98.0,0.11458333333333333,0.020833333333333332,0.21916329999658046,1,0,0,0.035782
23,vache,tâche,89.0,1.0,100.0,0.0,0.03125,0.10795779999898514,1,1,0,0.019231
23,chambre,lit,100.0,1.0,100.0,0.4479166666666667,0.010416666666666666,0.00023329999748966657,1,0,0,0.40719
23,rose,fleur,100.0,1.0,100.0,0.40625,0.020833333333333332,0.06828740000128164,1,0,0,0.367672
23,arbre,fruit,83.0,1.0,97.0,0.020833333333333332,0.0,0.16028490000098827,1,0,1,0.02544
23,lutte,sport,60.0,5.0,99.0,0.14583333333333334,0.07291666666666667,0.3837381999983336,1,0,0,0.059846
23,oncle,tante,40.0,1.0,100.0,0.7395833333333334,0.020833333333333332,0.15218049999748473,1,0,0,0.69057
23,chien,chat,nan,nan,nan,0.6875,0.020833333333333332,0.0025545999997120816,1,0,0,0.71091
23,preuve,meurtre,100.0,44.0,82.0,0.0,0.020833333333333332,0.14657490000172402,1,1,0,0.007937
23,herbe,vert,100.0,1.0,95.0,0.010416666666666666,0.0,0.11135039999862784,1,0,1,0.19536
23,larme,tristesse,100.0,29.0,100.0,0.22916666666666666,0.020833333333333332,0.08985179999945103,1,0,0,0.13962
23,cause,défendre,nan,nan,nan,0.03125,0.0,1.3846254000018234,1,0,1,0.005964
23,faim,manger,100.0,1.0,100.0,0.28125,0.010416666666666666,2.2184685000029276,1,0,0,0.24694
23,question,réponse,39.0,1.0,100.0,0.8020833333333334,0.0625,0.5402735999996366,1,0,0,0.71933
23,façon,aimer,nan,nan,nan,0.0,0.0,0.0002845999988494441,1,1,1,0.0
23,lune,ciel,100.0,46.0,100.0,0.020833333333333332,0.020833333333333332,0.3472074999990582,1,0,0,0.069903
23,pierre,grand-père,nan,nan,nan,0.0,0.0,3.824677899996459,1,1,1,0.0
23,lèvre,bouche,nan,nan,nan,0.6875,0.0,0.3835432000014407,1,0,1,0.54373
23,morceau,viande,100.0,1.0,100.0,0.10416666666666667,0.0625,0.9503617999980634,1,0,0,0.048544
23,jambe,pied,100.0,33.0,87.0,0.375,0.010416666666666666,1.055820899997343,1,0,0,0.24597
23,objet,rare,nan,nan,nan,0.0,0.0,1.602890699999989,1,1,1,0.001942
23,rôle,théâtre,100.0,61.0,100.0,0.23958333333333334,0.09375,0.3515196999978798,1,0,0,-1.0
23,rayon,soleil,nan,nan,nan,0.375,0.052083333333333336,0.366436899999826,1,0,0,0.43494
23,passion,destruction,nan,nan,nan,0.0,0.010416666666666666,2.484362199997122,1,1,0,0.001887
23,doigt,ongle,100.0,7.0,100.0,0.020833333333333332,0.0,0.7358714000001783,1,0,1,0.026415
23,enfant,période,nan,nan,nan,0.0,0.0,4.686120700000174,1,1,1,0.0
23,flamme,feu,nan,nan,nan,0.71875,0.0,0.35586879999755183,1,0,1,0.68702
23,habitude,ennuyant,100.0,84.0,90.0,0.0,0.0,2.243354199999885,1,1,1,0.005545
23,horizon,lointain,100.0,24.0,100.0,0.125,0.08333333333333333,0.8001069000019925,1,0,0,0.2
23,désir,sexe,100.0,3.0,99.0,0.125,0.0,1.4923937999992631,1,0,1,0.078029
23,jeunesse,présent,100.0,31.0,65.0,0.0,0.0,7.463024399999995,1,1,1,0.0
23,début,fin,nan,nan,nan,0.875,0.041666666666666664,0.31018200000107754,1,0,0,0.759297
23,soeur,amour,nan,nan,nan,0.0,0.020833333333333332,1.4328436000032525,1,1,0,0.005682
23,mur,plafond,73.0,46.0,89.0,0.010416666666666666,0.0,1.2971405999996932,1,0,1,0.00578
23,passage,étroit,100.0,58.0,100.0,0.020833333333333332,0.020833333333333332,1.0772332000015012,1,0,0,0.03619
23,masse,marteau,nan,nan,nan,0.08333333333333333,0.052083333333333336,0.615977199999179,1,0,0,0.02
23,position,confort,100.0,58.0,59.0,0.0,0.0,2.5902441999969597,1,1,1,0.005976
23,acte,théâtre,nan,nan,nan,0.28125,0.13541666666666666,0.8642624999993131,1,0,0,0.19275
23,mer,plage,nan,nan,nan,0.09375,0.0,0.38341079999736394,1,0,1,0.069246
23,toit,maison,77.0,41.0,97.0,0.65625,0.020833333333333332,2.7926422000018647,1,0,0,0.62978
23,avis,important,nan,nan,nan,0.020833333333333332,0.0,1.3715686999967147,1,0,1,0.005803
23,jardin,vert,nan,nan,nan,0.010416666666666666,0.0,0.8156319999980042,1,0,1,0.074747
23,mari,mariage,1.0,1.0,100.0,0.052083333333333336,0.03125,1.0506700000005367,1,0,0,0.023576
23,machine,laver,nan,nan,nan,0.07291666666666667,0.0625,2.0566827000002377,1,0,0,0.052533
23,école,primaire,100.0,1.0,100.0,0.020833333333333332,0.0,3.9140243000001647,1,0,1,0.039252
23,page,livre,nan,nan,nan,0.71875,0.03125,0.6084759000004851,1,0,0,0.56612
23,gauche,droite,17.0,1.0,100.0,0.8958333333333334,0.010416666666666666,4.236539800000173,1,0,0,0.73482
23,colline,montagne,100.0,1.0,100.0,0.5208333333333334,0.010416666666666666,0.26879940000071656,1,0,0,0.42052
23,table,chaise,nan,nan,nan,0.625,0.0,0.7715075000014622,1,0,1,0.44592
